post_title,post_id,tag_name,tag_id
"APS Foundation and APS Corporate Giving",145193,arizona-grants,33380
"Arizona Community Foundation",145177,arizona-grants,33380
"Arizona Coyotes Foundation",145253,arizona-grants,33380
"Arizona Diamondbacks Foundation",145176,arizona-grants,33380
"Arizona Together for Impact",145173,arizona-grants,33380
"Cardinals Charities",145214,arizona-grants,33380
"Community Foundation for Southern Arizona",145135,arizona-grants,33380
"Flinn Foundation",145153,arizona-grants,33380
"Garcia Family Foundation",145194,arizona-grants,33380
"Diane &#038; Bruce Halle Foundation",145157,arizona-grants,33380
"H.S. Lopez Foundation",145154,arizona-grants,33380
"David and Lura Lovell Foundation",144717,arizona-grants,33380
"Marshall Foundation",145213,arizona-grants,33380
"Moreno Family Foundation",145156,arizona-grants,33380
"Bob and Renee Parsons Foundation",145174,arizona-grants,33380
"Phoenix Suns Charities",144853,arizona-grants,33380
"PICOR Charitable Foundation",145215,arizona-grants,33380
"Virginia G. Piper Charitable Trust",145155,arizona-grants,33380
"Nina Mason Pulliam Charitable Trust",192264,arizona-grants,33380
"Trends Charitable Fund",145195,arizona-grants,33380
"Whiteman Foundation and Whiteman 4G Foundation",145234,arizona-grants,33380
"Vitalyst Health Foundation",145175,arizona-grants,33380
"Women’s Foundation for the State of Arizona",145134,arizona-grants,33380
"Young Jewish Funders of Arizona",144716,arizona-grants,33380
