post_title,post_id,tag_name,tag_id
"J.A. and Kathryn Albertson Family Foundation",143794,idaho-grants,33387
"Olive Smith Browning Charitable Trust",144273,idaho-grants,33387
"CHC Foundation",143678,idaho-grants,33387
"Community Foundation of Teton Valley",143836,idaho-grants,33387
"Idaho Community Foundation",143795,idaho-grants,33387
"Intermountain Industries Petroglyph Energy Foundation",143720,idaho-grants,33387
"Micron Foundation",144757,idaho-grants,33387
"Laura Moore Cunningham Foundation",143796,idaho-grants,33387
"Morrison Knudsen Foundation",143719,idaho-grants,33387
"Nagel Foundation",143721,idaho-grants,33387
"Pride Foundation",136241,idaho-grants,33387
"Rozella Nottingham Trust",144274,idaho-grants,33387
"Teton Springs Foundation",143835,idaho-grants,33387
"Whittenberger Foundation",144938,idaho-grants,33387
"Wood River Women’s Foundation",143834,idaho-grants,33387
