post_title,post_id,tag_name,tag_id
"A Better Chicago",144175,illinois-grants,33388
"G.A. Ackermann Memorial Fund",144275,illinois-grants,33388
"Allstate Foundation",135247,illinois-grants,33388
"Alphawood Foundation",135221,illinois-grants,33388
"Always Giving Back Foundation",144179,illinois-grants,33388
"American Electric Power Foundation",184469,illinois-grants,33388
"Amcor Cares",144152,illinois-grants,33388
"Paul M. Angell Family Foundation",135223,illinois-grants,33388
"Lester and Edward Anixter Family Foundation",143380,illinois-grants,33388
"Awesome Foundation Chicago Chapter",144174,illinois-grants,33388
"Barrington Area Community Foundation",143515,illinois-grants,33388
"Baskes Family Foundation",143340,illinois-grants,33388
"Carol Lavin Bernick Family Foundation",143411,illinois-grants,33388
"Alfred Bersted Foundation",143426,illinois-grants,33388
"Grace Bersted Foundation",143427,illinois-grants,33388
"Blowitz-Ridgeway Foundation",136015,illinois-grants,33388
"Bluhm Family Charitable Foundation",143339,illinois-grants,33388
"Blum-Kovler Foundation",143455,illinois-grants,33388
"Helen V. Brach Foundation",143336,illinois-grants,33388
"Brinson Foundation",135377,illinois-grants,33388
"The John &#038; Jacolyn Bucksbaum Family Foundation",143417,illinois-grants,33388
"Builders Vision",192185,illinois-grants,33388
"Henrietta Lange Burk Fund",143425,illinois-grants,33388
"The Canning Foundation",143393,illinois-grants,33388
"Caterpillar Foundation",135423,illinois-grants,33388
"Charleston Area Charitable Foundation",143514,illinois-grants,33388
"Elizabeth F. Cheney Foundation",143338,illinois-grants,33388
"Chicago Bulls Charities",144178,illinois-grants,33388
"Chicago Chapter Charities Foundation",144180,illinois-grants,33388
"Chicago Community Trust",145100,illinois-grants,33388
"Chicago Foundation for Education",143346,illinois-grants,33388
"Chicago Foundation for Women",143341,illinois-grants,33388
"Chicago Public Education Fund",143345,illinois-grants,33388
"Chicago Wolves Charities",144177,illinois-grants,33388
"Christopher Family Foundation",143337,illinois-grants,33388
"Circle of Service Foundation",143342,illinois-grants,33388
"CME Group Foundation",143358,illinois-grants,33388
"Code Family Foundation",143344,illinois-grants,33388
"Coleman Foundation",145151,illinois-grants,33388
"Common Ground Foundation",144173,illinois-grants,33388
"Community Foundation of Central Illinois",143554,illinois-grants,33388
"Community Foundation of East Central Illinois",143556,illinois-grants,33388
"Community Foundation of Grundy County",143557,illinois-grants,33388
"Community Foundation of the Kankakee River Valley",144136,illinois-grants,33388
"Community Foundation of the Quincy Area",144135,illinois-grants,33388
"Conant Family Foundation",143406,illinois-grants,33388
"Crossroads Fund",136415,illinois-grants,33388
"Crown Family Philanthropies",135216,illinois-grants,33388
"Custom Cares Charities",143409,illinois-grants,33388
"DeKalb County Community Foundation",144134,illinois-grants,33388
"Gaylord and Dorothy Donnelley Foundation",143356,illinois-grants,33388
"Richard H. Driehaus Foundation",143354,illinois-grants,33388
"The Duchossois Family Foundation",143396,illinois-grants,33388
"Roger and Chaz Ebert Foundation",144293,illinois-grants,33388
"Edlis-Neeson Foundation",143400,illinois-grants,33388
"Evanston Community Foundation",144137,illinois-grants,33388
"Evjue Foundation",144149,illinois-grants,33388
"Field Foundation of Illinois",143398,illinois-grants,33388
"Foglia Family Foundation",143405,illinois-grants,33388
"Peter &#038; Paula Fasseas Foundation",143394,illinois-grants,33388
"Finnegan Family Foundation",143410,illinois-grants,33388
