post_title,post_id,tag_name,tag_id
"Adams Community Foundation",144385,iowa-grants,33390
"Athene Charitable Foundation",144710,iowa-grants,33390
"Harold R. Bechtel Charitable Trust",144614,iowa-grants,33390
"Marie H. Bechtel Charitable Trust",144719,iowa-grants,33390
"Roy J. Carver Charitable Trust",144739,iowa-grants,33390
"Clarinda Foundation",144460,iowa-grants,33390
"Community Foundation of Greater Des Moines",144738,iowa-grants,33390
"Community Foundation of Greater Dubuque",144388,iowa-grants,33390
"Community Foundation of Jackson County",144334,iowa-grants,33390
"Community Foundation of Johnson County",144613,iowa-grants,33390
"Community Foundation of Greater Muscatine",144734,iowa-grants,33390
"Community Foundation of Northeast Iowa",144462,iowa-grants,33390
"EMC Insurance Foundation",144461,iowa-grants,33390
"Fort Dodge Community Foundation",144735,iowa-grants,33390
"Peter H. and Lucille Gaass Kuyper Foundation",144432,iowa-grants,33390
"Greater Cedar Rapids Community Foundation",144761,iowa-grants,33390
"Greater Jefferson County Foundation",144452,iowa-grants,33390
"Greater Poweshiek Community Foundation",144759,iowa-grants,33390
"Max and Helen Guernsey Charitable Foundation",144720,iowa-grants,33390
"Hall-Perrine Foundation",144762,iowa-grants,33390
"John K. and Luise V. Hanson Foundation",144736,iowa-grants,33390
"HNI Charitable Foundation",144459,iowa-grants,33390
"Iowa West Foundation",144737,iowa-grants,33390
"Jasper Community Foundation",144553,iowa-grants,33390
"Lake Mills Foundation for Community Improvements",144389,iowa-grants,33390
"Lee Foundation",144534,iowa-grants,33390
"Mansfield Charitable Foundation",144733,iowa-grants,33390
"R. J. McElroy Trust",144765,iowa-grants,33390
"Mid-Iowa Health Foundation",144740,iowa-grants,33390
"Northeast Iowa Charitable Foundation",144615,iowa-grants,33390
"Pella Rolscreen Foundation",144763,iowa-grants,33390
"Principal Financial Group Foundation",144764,iowa-grants,33390
"John Ruan Foundation Trust",144654,iowa-grants,33390
"Siouxland Community Foundation",144678,iowa-grants,33390
"South Central Iowa Community Foundation",144758,iowa-grants,33390
"Martha Ellen Tye Foundation",144356,iowa-grants,33390
"United Fire Group Foundation",144386,iowa-grants,33390
"Vermeer Charitable Foundation",144766,iowa-grants,33390
"Vogel Foundation",144473,iowa-grants,33390
"Young Family Foundation of Waterloo, Iowa",144533,iowa-grants,33390
