post_title,post_id,tag_name,tag_id
"Baughman Foundation",144096,kansas-grants,33391
"Capitol Federal Foundation",143015,kansas-grants,33391
"DeVore Foundation",144095,kansas-grants,33391
"Douglas County Community Foundation",143774,kansas-grants,33391
"Emporia Community Foundation",144094,kansas-grants,33391
"Greater Kansas City Community Foundation",143002,kansas-grants,33391
"Greater Manhattan Community Foundation",143773,kansas-grants,33391
"Greater Salina Community Foundation",142994,kansas-grants,33391
"H&#038;R Block Foundation",143818,kansas-grants,33391
"Hall Family Foundation",143001,kansas-grants,33391
"Dane G. Hansen Foundation",142993,kansas-grants,33391
"Lewis H. Humphreys Charitable Trust",144154,kansas-grants,33391
"Hutchinson Community Foundation",143014,kansas-grants,33391
"Walter S. and Evan C. Jones Foundation",143820,kansas-grants,33391
"Kansas Health Foundation",142996,kansas-grants,33391
"Fred C. and Mary R. Koch Foundation",143817,kansas-grants,33391
"Menorah Heritage Foundation",143797,kansas-grants,33391
"REACH Foundation",143016,kansas-grants,33391
"Sunderland Foundation",142995,kansas-grants,33391
"Sunflower Foundation: Health Care for Kansans",143799,kansas-grants,33391
"Topeka Community Foundation",143054,kansas-grants,33391
"Courtney S. Turner Charitable Trust",144097,kansas-grants,33391
"United Methodist Health Ministry Fund",143798,kansas-grants,33391
"Westar Energy Foundation",143819,kansas-grants,33391
"Wichita Community Foundation",143053,kansas-grants,33391
