post_title,post_id,tag_name,tag_id
"Mary Reynolds Babcock Foundation",135341,louisiana-grants,33393
"Baton Rouge Area Foundation",144577,louisiana-grants,33393
"Bayou Community Foundation",144493,louisiana-grants,33393
"Gayle and Tom Benson Charitable Foundation",144711,louisiana-grants,33393
"Joe W. and Dorothy Dorsett Brown Foundation",144516,louisiana-grants,33393
"Central Louisiana Community Foundation",144603,louisiana-grants,33393
"Community Foundation of Acadiana",144600,louisiana-grants,33393
"Community Foundation of North Louisiana",144602,louisiana-grants,33393
"Community Foundation of Southwest Louisiana",144601,louisiana-grants,33393
"Ella West Freeman Foundation",144576,louisiana-grants,33393
"Emerging Philanthropists of New Orleans",144513,louisiana-grants,33393
"Foundation For Louisiana",184286,louisiana-grants,33393
"Greater New Orleans Foundation",144604,louisiana-grants,33393
"Keller Family Foundation",135652,louisiana-grants,33393
"Methodist Health System Foundation",144518,louisiana-grants,33393
"Northshore Community Foundation",144617,louisiana-grants,33393
"Irene W. &#038; C. B. Pennington Foundation",144515,louisiana-grants,33393
"Pro Bono Publico Foundation",144616,louisiana-grants,33393
"Rapides Foundation",144680,louisiana-grants,33393
"RosaMary Foundation",144535,louisiana-grants,33393
"Kemper and Leila Williams Foundation",144514,louisiana-grants,33393
"Huey and Angelina Wilson Foundation",144517,louisiana-grants,33393
