post_title,post_id,tag_name,tag_id
"Judith and Jean Pape Adams Foundation",143203,oklahoma-grants,33411
"American Fidelity Foundation",144202,oklahoma-grants,33411
"Arnall Family Foundation",143760,oklahoma-grants,33411
"Bartlesville Community Foundation",143486,oklahoma-grants,33411
"Grace and Franklin Bernsen Foundation",143349,oklahoma-grants,33411
"Cherokee Strip Community Foundation",143487,oklahoma-grants,33411
"City of Muskogee Foundation",143350,oklahoma-grants,33411
"Communities Foundation of Oklahoma",143490,oklahoma-grants,33411
"Cresap Family Foundation",144200,oklahoma-grants,33411
"Gelvin Foundation",143488,oklahoma-grants,33411
"Hardesty Family Foundation",143469,oklahoma-grants,33411
"Impact Oklahoma",143565,oklahoma-grants,33411
"Inasmuch Foundation",135599,oklahoma-grants,33411
"George Kaiser Family Foundation",145104,oklahoma-grants,33411
"Kirkpatrick Family Fund",143352,oklahoma-grants,33411
"Kirkpatrick Foundation",143351,oklahoma-grants,33411
"Tom and Judy Love Foundation",144280,oklahoma-grants,33411
"Lyon Foundation",144123,oklahoma-grants,33411
"McMahon Foundation",143762,oklahoma-grants,33411
"Mercy Work Foundation of Oklahoma",143564,oklahoma-grants,33411
"Merrick Foundation",143248,oklahoma-grants,33411
"Norman Community Foundation",143529,oklahoma-grants,33411
"Oklahoma City Community Foundation",143447,oklahoma-grants,33411
"Lavina Parker Trust",143567,oklahoma-grants,33411
"Samuel Roberts Noble Foundation",143432,oklahoma-grants,33411
"Leola Osborn Trust",143566,oklahoma-grants,33411
"McGee Foundation",144199,oklahoma-grants,33411
"Potts Family Foundation",144125,oklahoma-grants,33411
"Presbyterian Health Foundation",143472,oklahoma-grants,33411
"Puterbaugh Foundation",144205,oklahoma-grants,33411
"Robert Glenn Rapp Foundation",144124,oklahoma-grants,33411
"Sarkeys Foundation",143466,oklahoma-grants,33411
"Southern Oklahoma Memorial Foundation",143489,oklahoma-grants,33411
"David E. &#038; Cassie L. Temple Foundation",144203,oklahoma-grants,33411
"Tulsa Community Foundation",145131,oklahoma-grants,33411
"Valley View Foundation",144126,oklahoma-grants,33411
"William K. Warren Foundation",143449,oklahoma-grants,33411
"Carolyn Watson Rural Oklahoma Community Foundation",143471,oklahoma-grants,33411
"Williams Companies Foundation",143763,oklahoma-grants,33411
"Anne and Henry Zarrow Foundation",143448,oklahoma-grants,33411
"Maxine and Jack Zarrow Family Foundation",143446,oklahoma-grants,33411
"John Steele Zink Foundation",143761,oklahoma-grants,33411
