post_title,post_id,tag_name,tag_id
"Autzen Foundation",6898,oregon-grants,33412
"Benton Community Foundation",6897,oregon-grants,33412
"Carpenter Foundation",6892,oregon-grants,33412
"Chambers Family Foundation",6896,oregon-grants,33412
"Maybelle Clark Macdonald Fund",6895,oregon-grants,33412
"Collins Foundation",6886,oregon-grants,33412
"Cressey Family Charitable Trust",6884,oregon-grants,33412
"The Ford Family Foundation",6905,oregon-grants,33412
"Four Way Community Foundation",6900,oregon-grants,33412
"Gray Family Foundation",6885,oregon-grants,33412
"C. Giles Hunt Charitable Trust",6901,oregon-grants,33412
"Jackson Foundation",6891,oregon-grants,33412
"Jubitz Family Foundation",135620,oregon-grants,33412
"James R. Kuse Family Foundation",6908,oregon-grants,33412
"Lemelson Foundation",6893,oregon-grants,33412
"William and Mary Little Foundation",8263,oregon-grants,33412
"Edward and Cynthia Maletis Foundation",143612,oregon-grants,33412
"James F. and Marion L. Miller Foundation",6889,oregon-grants,33412
"Mentor Graphics Foundation",6911,oregon-grants,33412
"Meyer Memorial Trust",6899,oregon-grants,33412
"MRG Foundation",141,oregon-grants,33412
"PGE Foundation",6888,oregon-grants,33412
"The Roundhouse Foundation",6910,oregon-grants,33412
"Salem Foundation",6883,oregon-grants,33412
"The Standard Charitable Foundation and The Standard Corporate Giving: Oregon",6906,oregon-grants,33412
"Three Rivers Foundation",6907,oregon-grants,33412
"Western Lane Community Foundation",6909,oregon-grants,33412
"Wood Family Charitable Trust",6904,oregon-grants,33412
"Juan Young Trust",143,oregon-grants,33412
