post_title,post_id,tag_name,tag_id
"Air Products Foundation",144147,pennsylvania-grants,33413
"Alcoa Foundation",135235,pennsylvania-grants,33413
"Allegheny Foundation",143219,pennsylvania-grants,33413
"Alter Family Foundation: Grants for Philadelphia",143205,pennsylvania-grants,33413
"AmerisourceBergen Foundation",143047,pennsylvania-grants,33413
"Angelakis Family Foundation",143069,pennsylvania-grants,33413
"Awesome Foundation Philadelphia Chapter",144208,pennsylvania-grants,33413
"Barra Foundation",143064,pennsylvania-grants,33413
"Bennett Family Foundation",143959,pennsylvania-grants,33413
"Jacob and Hilda Blaustein Foundation",135379,pennsylvania-grants,33413
"Capstone Legacy Foundation",144209,pennsylvania-grants,33413
"Catholic Foundation of Greater Philadelphia",144228,pennsylvania-grants,33413
"Comcast NBCUniversal Foundation",135158,pennsylvania-grants,33413
"Connelly  Foundation",143082,pennsylvania-grants,33413
"Elmer Roe Deaver Foundation",144211,pennsylvania-grants,33413
"The Alfred and Mary Douty Foundation: Grants for Philadelphia",143009,pennsylvania-grants,33413
"Drumcliff Foundation",143106,pennsylvania-grants,33413
"DSF Charitable Foundation",144148,pennsylvania-grants,33413
"Eagles Care (The Philadelphia Eagles)",143086,pennsylvania-grants,33413
"Eden Hall Foundation",143783,pennsylvania-grants,33413
"Elias Family Charitable Trust",143217,pennsylvania-grants,33413
"Charles E. Ellis Trust for Girls",143084,pennsylvania-grants,33413
"Erie Community Foundation: Grants for Pennsylvania",143008,pennsylvania-grants,33413
"Ertz Family Foundation",143241,pennsylvania-grants,33413
"EQT Foundation",144088,pennsylvania-grants,33413
"Samuel S. Fels Fund",135519,pennsylvania-grants,33413
"Joseph and Marie Field Environmental Foundation",135082,pennsylvania-grants,33413
"Foundations Community Partnership",143063,pennsylvania-grants,33413
"Foundation for Delaware County",143104,pennsylvania-grants,33413
"Genuardi Family Foundation",143224,pennsylvania-grants,33413
"GlaxoSmithKline U.S. Community Partnerships",143040,pennsylvania-grants,33413
"Mary Gourlay Charitable Trust",144207,pennsylvania-grants,33413
"Grable Foundation",143786,pennsylvania-grants,33413
"Daniel B. and Florence E. Green Foundation",144227,pennsylvania-grants,33413
"Albert M. Greenfield Foundation",143080,pennsylvania-grants,33413
"GreenLight Fund Philadelphia",144230,pennsylvania-grants,33413
"Hamilton Family Foundation",143087,pennsylvania-grants,33413
"Harris Philanthropies",143062,pennsylvania-grants,33413
"The Heinz Endowments",135534,pennsylvania-grants,33413
"Henry L. Hillman Foundation",143218,pennsylvania-grants,33413
"Hillman Foundation",143927,pennsylvania-grants,33413
"Gary M. and Patricia P. Holloway Family Foundation",143208,pennsylvania-grants,33413
"Honickman Foundation",143079,pennsylvania-grants,33413
"The Horner Foundation: Philadelphia Grants",143010,pennsylvania-grants,33413
"Impact100 Philadelphia",143078,pennsylvania-grants,33413
"Independence Blue Cross Foundation",143046,pennsylvania-grants,33413
"Independence Media Foundation: Grants for Pennsylvania",143007,pennsylvania-grants,33413
"Jewish Federation of Greater Philadelphia’s Women of Vision: Grants for Philadelphia",143011,pennsylvania-grants,33413
"Joseph Kennard Skilling Trust",144206,pennsylvania-grants,33413
"James and Agnes Kim Foundation",143207,pennsylvania-grants,33413
"Sidney Kimmel Foundation",144298,pennsylvania-grants,33413
"Patricia Kind Family Foundation: Philadelphia Grants",143012,pennsylvania-grants,33413
"Lancaster County Community Foundation",143784,pennsylvania-grants,33413
"Leeway Foundation",184282,pennsylvania-grants,33413
"Levitties Foundation",143215,pennsylvania-grants,33413
"Lincoln Financial Foundation ",135696,pennsylvania-grants,33413
"Lindback Foundation",143103,pennsylvania-grants,33413
"Longwood Foundation",144575,pennsylvania-grants,33413
"Luzerne Foundation",143785,pennsylvania-grants,33413
"McCune Foundation",145242,pennsylvania-grants,33413
"Richard King Mellon Foundation",145132,pennsylvania-grants,33413
"Neubauer Family Foundation",143206,pennsylvania-grants,33413
"Oberkotter Foundation",143928,pennsylvania-grants,33413
"Pew Charitable Trusts",136228,pennsylvania-grants,33413
"Philadelphia Bar Foundation",144229,pennsylvania-grants,33413
"Philadelphia Black Giving Circle",143105,pennsylvania-grants,33413
"Philadelphia Cultural Fund",144224,pennsylvania-grants,33413
"Philadelphia Foundation",211911,pennsylvania-grants,33413
"Philadelphia Health Partnership",143041,pennsylvania-grants,33413
"Pittsburgh Foundation",145107,pennsylvania-grants,33413
"PNC Foundation ",135938,pennsylvania-grants,33413
"PPG Industries Foundation ",135941,pennsylvania-grants,33413
"The Presser Foundation",143089,pennsylvania-grants,33413
"Public Health Fund",143085,pennsylvania-grants,33413
"Henry A. Quinn Charitable Foundation",143222,pennsylvania-grants,33413
"E. Rhodes and Leona B. Carpenter Foundation",143065,pennsylvania-grants,33413
"Rite Aid Foundation",144090,pennsylvania-grants,33413
"Percival Roberts, Jr. Trust",144210,pennsylvania-grants,33413
"Rosenlund Family Foundation: Grants for Philadelphia",143039,pennsylvania-grants,33413
"The Saturday Club",143045,pennsylvania-grants,33413
"Thomas Scattergood Foundation",136110,pennsylvania-grants,33413
"The Seybert Foundation",143091,pennsylvania-grants,33413
"W. W. Smith Charitable Trust",144089,pennsylvania-grants,33413
"Snider Foundation",143204,pennsylvania-grants,33413
"Spruce Foundation",143090,pennsylvania-grants,33413
"Paula Steinebach Trust",144212,pennsylvania-grants,33413
"Stockton Rush Bartol Foundation",143088,pennsylvania-grants,33413
"Stoneleigh Foundation",143108,pennsylvania-grants,33413
"Sylk Charitable Trust",143216,pennsylvania-grants,33413
"Tighe Foundation",143221,pennsylvania-grants,33413
"Edith L. Trees Charitable Trust",143929,pennsylvania-grants,33413
"Harry C. Trexler Trust",144127,pennsylvania-grants,33413
"Valentine Foundation",143109,pennsylvania-grants,33413
"Vanguard",143066,pennsylvania-grants,33413
"Lydia Fisher Warner Memorial Trust",144231,pennsylvania-grants,33413
"Wells Fargo Regional Foundation",143101,pennsylvania-grants,33413
"Robert C. White Trust",144232,pennsylvania-grants,33413
"William Penn Foundation",145108,pennsylvania-grants,33413
"Wawa Foundation",143043,pennsylvania-grants,33413
"Leslie Miller and Richard Worley Foundation",144225,pennsylvania-grants,33413
"Wyncote Foundation",136447,pennsylvania-grants,33413
