post_title,post_id,tag_name,tag_id
"Amica Companies Foundation",142931,rhode-island-grants,33414
"The Champlin Foundation",142926,rhode-island-grants,33414
"Emma G. Harris Foundation",143972,rhode-island-grants,33414
"Frank B. Hazard General Charity Fund",144192,rhode-island-grants,33414
"Harry M., Miriam C. and William C. Horton Fund",144252,rhode-island-grants,33414
"John D. &#038; Katherine A. Johnston Foundation",142912,rhode-island-grants,33414
"Horace A. Kimball &#038; S. Ella Kimball Foundation",142928,rhode-island-grants,33414
"June Rockwell Levy Foundation",142932,rhode-island-grants,33414
"Ida Ballou Littlefield Memorial Trust",142952,rhode-island-grants,33414
"Adelaide Dawson Lynch Trust",142911,rhode-island-grants,33414
"Ocean State Charities Trust",142929,rhode-island-grants,33414
"Rhode Island Foundation",142927,rhode-island-grants,33414
"Rhode Island State Council on the Arts",143048,rhode-island-grants,33414
"Textron Charitable Trust ",135870,rhode-island-grants,33414
"van Beuren Charitable Foundation",142930,rhode-island-grants,33414
"Vigneron Memorial Fund",142988,rhode-island-grants,33414
