post_title,post_id,tag_name,tag_id
"Ashton Family Foundation",144668,utah-grants,33419
"Bamberger Memorial Foundation",144670,utah-grants,33419
"R. Harold Burton Foundation",144671,utah-grants,33419
"Community Foundation of Utah",144652,utah-grants,33419
"Lawrence T. &#038; Janet T. Dee Foundation",144726,utah-grants,33419
"George S. and Dolores Doré Eccles Foundation",144552,utah-grants,33419
"Marriner S. Eccles Foundation",144667,utah-grants,33419
"Jon and Karen Huntsman Foundation",144651,utah-grants,33419
"Kennecott Utah Copper Visitors Center Charitable Foundation",144732,utah-grants,33419
"LGBTQ Community Fund",144746,utah-grants,33419
"Ray and Tye Noorda Foundation",144630,utah-grants,33419
"Park City Community Foundation",144712,utah-grants,33419
"Simmons Family Foundation",144747,utah-grants,33419
"Snow, Christensen &#038; Martineau Foundation",144729,utah-grants,33419
"Stewart Family Foundation",144669,utah-grants,33419
"Dr. W.C. Swanson Family Foundation",144731,utah-grants,33419
"Utah Women’s Giving Circle",144730,utah-grants,33419
