post_title,identifier,reason,tag_name,tag_id
"",https://www.insidephilanthropy.com/connecticut-grants/hascoe-charitable-foundation,post-not-found,tech-philanthropists,33376
"Crankstart Foundation",136236,already-tagged,tech-philanthropists,33376
"Musk Foundation",135493,already-tagged,tech-philanthropists,33376
"Carl Victor Page Memorial Foundation",202645,already-tagged,tech-philanthropists,33376
"",https://www.insidephilanthropy.com/tech-philanthropists/john-and-elaine-chambers,post-not-found,tech-philanthropists,33376
"",https://www.insidephilanthropy.com/connecticut-grants/hascoe-charitable-foundation,post-not-found,tech-philanthropists,33376
"",https://www.insidephilanthropy.com/tech-philanthropists/ajay-b-shah,post-not-found,tech-philanthropists,33376
"Crankstart Foundation",136236,already-tagged,tech-philanthropists,33376
"Musk Foundation",135493,already-tagged,tech-philanthropists,33376
"Carl Victor Page Memorial Foundation",202645,already-tagged,tech-philanthropists,33376
"",https://www.insidephilanthropy.com/tech-philanthropists/andrew-and-joann-senyei,post-not-found,tech-philanthropists,33376
