post_title,post_id,tag_name,tag_id
"Brian and Tegan Acton",148459,tech-philanthropists,33376
"Rick and Donnalyn Adams",148341,tech-philanthropists,33376
"Lisa &#038; Steve Altman Family Foundation",144415,tech-philanthropists,33376
"Laura Arrillaga-Andreessen",147526,tech-philanthropists,33376
"Brian Armstrong",147549,tech-philanthropists,33376
"C. Michael and Anne Armstrong",148494,tech-philanthropists,33376
"James W. Bagley",148236,tech-philanthropists,33376
"Rich and Sarah Barton",148102,tech-philanthropists,33376
"Buddy and Charlotte Beck",148355,tech-philanthropists,33376
"C. Gordon and Gwen Bell",148405,tech-philanthropists,33376
"Bengier Foundation",135375,tech-philanthropists,33376
"Bergman Family Foundation",135298,tech-philanthropists,33376
"Jeff Bezos",148524,tech-philanthropists,33376
"Michael and Xochi Birch",148353,tech-philanthropists,33376
"Nathan and Elizabeth Blecharczyk",148491,tech-philanthropists,33376
"James Bochnowski",148348,tech-philanthropists,33376
"Borch Foundation",145208,tech-philanthropists,33376
"Leonard Bosack",148419,tech-philanthropists,33376
"Ken and Cheryl Branson",148234,tech-philanthropists,33376
"Breneman Jaech Foundation",8271,tech-philanthropists,33376
"Brettler Family Foundation",8247,tech-philanthropists,33376
"Sergey Brin Family Foundation",136255,tech-philanthropists,33376
"Jim Breyer and Angela Chao",147541,tech-philanthropists,33376
"Paul and April Buchheit",148131,tech-philanthropists,33376
"Aneel and Allison Bhusri",147550,tech-philanthropists,33376
"Case Foundation",135304,tech-philanthropists,33376
"Mani Charitable Foundation",8367,tech-philanthropists,33376
"Chenwu Foundation",145200,tech-philanthropists,33376
"Winston H. Chen and Phyllis Huang",148336,tech-philanthropists,33376
"Brian Chesky",148454,tech-philanthropists,33376
"Chestnut Family Foundation",135301,tech-philanthropists,33376
"James H. Clark Charitable Foundation",135135,tech-philanthropists,33376
"Ron Conway",148129,tech-philanthropists,33376
"Scott Cook and Signe Ostby",148134,tech-philanthropists,33376
"Tim Cook",148127,tech-philanthropists,33376
"Couch Family Foundation",136020,tech-philanthropists,33376
"Mark Cuban Foundation",135183,tech-philanthropists,33376
"Matt Cutts",148428,tech-philanthropists,33376
"Jack and Laura Dangermond",147859,tech-philanthropists,33376
"Dennis and Gretchen DeAndre",148277,tech-philanthropists,33376
"Darwin Deason",148399,tech-philanthropists,33376
"John Delo",147559,tech-philanthropists,33376
"Bharat Desai and Neerja Sethi",147553,tech-philanthropists,33376
"Desai Foundation",135445,tech-philanthropists,33376
"Gururaj “Desh” and Jaishree Deshpande",148490,tech-philanthropists,33376
"David desJardins and Nancy Blachman",148426,tech-philanthropists,33376
"Jack Dorsey",148522,tech-philanthropists,33376
"Drew Foundation",145237,tech-philanthropists,33376
"Maddie&#8217;s Fund",135149,tech-philanthropists,33376
"Dunietz Minsk Family Foundation",8353,tech-philanthropists,33376
"Kevin and Molly Efrusy",148408,tech-philanthropists,33376
"Paul and Joanne Egerman",148429,tech-philanthropists,33376
"Larry Ellison",148125,tech-philanthropists,33376
"Eustace-Kwan Family Foundation",145116,tech-philanthropists,33376
"Bruce and Bridgitt Bertram Evans",148360,tech-philanthropists,33376
"Quinten House Foundation",144474,tech-philanthropists,33376
"Noel and Sally Fenton",148448,tech-philanthropists,33376
"Dropbox Foundation",135479,tech-philanthropists,33376
"David and Angela Filo",185804,tech-philanthropists,33376
"Carly and Frank Fiorina",147548,tech-philanthropists,33376
"Jesse and Betsy Fink",148380,tech-philanthropists,33376
"Keith and Pamela Fox",148335,tech-philanthropists,33376
"Friedman Family Charitable Trust",144953,tech-philanthropists,33376
"Garcia Family Foundation",145194,tech-philanthropists,33376
"Gates Foundation",136278,tech-philanthropists,33376
"Melinda French Gates",148523,tech-philanthropists,33376
"Joe Gebbia",148470,tech-philanthropists,33376
"Gianforte Family Foundation",144004,tech-philanthropists,33376
"Stephen &#038; Margaret Gill Family Foundation",145235,tech-philanthropists,33376
"Gill Foundation",136401,tech-philanthropists,33376
"David and Patricia Giuliani Family Foundation",8362,tech-philanthropists,33376
"Rob Glaser",148379,tech-philanthropists,33376
"James Goodnight",148339,tech-philanthropists,33376
"Mark Gorton",147520,tech-philanthropists,33376
"Grove Foundation ",136437,tech-philanthropists,33376
"Ramanathan and Asha Guha",148257,tech-philanthropists,33376
"David and Cathy Habib Foundation",8304,tech-philanthropists,33376
"Hafer Family Foundation",8282,tech-philanthropists,33376
"Brian Hamilton",147527,tech-philanthropists,33376
"Omar Hamoui",148489,tech-philanthropists,33376
"Nick and Leslie Hanauer",148467,tech-philanthropists,33376
"Hanlon Foundation",8260,tech-philanthropists,33376
