post_title,post_id,tag_name,tag_id
"3M Corporate Giving",183857,grants-theater,33333
"American Antiquarian Society",135230,grants-theater,33333
"American Express",135284,grants-theater,33333
"American Theatre Wing",136319,grants-theater,33333
"Anderson Center",135140,grants-theater,33333
"Paul M. Angell Family Foundation",135223,grants-theater,33333
"The Annenberg Foundation",135996,grants-theater,33333
"Association of Performing Arts Professionals",135187,grants-theater,33333
"Astraea Lesbian Foundation for Justice",135999,grants-theater,33333
"Ayrshire Foundation",135201,grants-theater,33333
"A Blade of Grass",135141,grants-theater,33333
"Bogliasco Foundation",135376,grants-theater,33333
"BNSF Railway Foundation",135359,grants-theater,33333
"Brown Foundation",135319,grants-theater,33333
"Capital Group Companies Charitable Foundation",135398,grants-theater,33333
"Amon G. Carter Foundation",135136,grants-theater,33333
"Creative Capital",136075,grants-theater,33333
"Gladys Krieble Delmas Foundation",135441,grants-theater,33333
"Doris Duke Foundation",136135,grants-theater,33333
"Dorsey &#038; Whitney Foundation",135459,grants-theater,33333
"Max and Victoria Dreyfus Foundation",136198,grants-theater,33333
"Ecolab Foundation",135575,grants-theater,33333
"Edgerton Foundation",135407,grants-theater,33333
"Embrey Family Foundation",135273,grants-theater,33333
"Emerson Charitable Trust",135059,grants-theater,33333
"Fidelity Foundation",135501,grants-theater,33333
"Ford Foundation",136343,grants-theater,33333
"Foundation for Contemporary Arts",135526,grants-theater,33333
"David Geffen Foundation",135537,grants-theater,33333
"Georgia Pacific Foundation",135556,grants-theater,33333
"Horace W. Goldsmith Foundation ",135192,grants-theater,33333
"Gordon and Betty Moore Foundation",136186,grants-theater,33333
"John Simon Guggenheim Memorial Foundation",135103,grants-theater,33333
"Yip Harburg Foundation",136093,grants-theater,33333
"Hearst Foundations",135539,grants-theater,33333
"David Charles Horn Foundation",135572,grants-theater,33333
"International Centre for Women Playwrights",136304,grants-theater,33333
"Japan-United States Friendship Commission",135621,grants-theater,33333
"F. M. Kirby Foundation",135665,grants-theater,33333
"John S. and James L. Knight Foundation",136260,grants-theater,33333
"Kresge Foundation",136258,grants-theater,33333
"Lear Family Foundation ",135728,grants-theater,33333
"Reva and David Logan Foundation ",135723,grants-theater,33333
"MACY&#8217;S Inc.",135674,grants-theater,33333
"MAP Fund",136442,grants-theater,33333
"Maurer Family Foundation",135691,grants-theater,33333
"Mellon Foundation",136407,grants-theater,33333
"Michelin Corporate Foundation",135680,grants-theater,33333
"National Endowment for the Arts",135746,grants-theater,33333
"National Endowment for the Humanities",135747,grants-theater,33333
"National League of American Pen Women",135767,grants-theater,33333
"National YoungArts Foundation",135785,grants-theater,33333
"Open Meadows Foundation",135989,grants-theater,33333
"Playwrights’ Center",135971,grants-theater,33333
"Princess Grace Foundation USA",135948,grants-theater,33333
"Prudential Foundation and Corporate Giving",135944,grants-theater,33333
"Puffin Foundation ",135906,grants-theater,33333
"Jerome Robbins Foundation",136071,grants-theater,33333
"David Rockefeller Fund",136244,grants-theater,33333
"Salesforce Foundation",136162,grants-theater,33333
"Shubert Foundation",136247,grants-theater,33333
"Sundance Institute",136352,grants-theater,33333
"Theatre Communications Group",136332,grants-theater,33333
"Tiger Baron Foundation ",136271,grants-theater,33333
"Time Warner Foundation ",135816,grants-theater,33333
"Tow Foundation ",135654,grants-theater,33333
"Union Pacific Foundation",136009,grants-theater,33333
"United States Artists",136274,grants-theater,33333
"U.S. Bancorp Foundation",136008,grants-theater,33333
"Venturous Theater Fund",136333,grants-theater,33333
"Wallace Foundation",136212,grants-theater,33333
"The Kurt Weill Foundation for Music",135790,grants-theater,33333
"Wells Fargo Foundation",135805,grants-theater,33333
"Creative West",135820,grants-theater,33333
"Hearthland Foundation (a.k.a. Wunderkinder Foundation)",136441,grants-theater,33333
"Wyncote Foundation",136447,grants-theater,33333
