post_title,identifier,reason,tag_name,tag_id
"",https://www.insidephilanthropy.com/grants-for-scientific-research/research-corporation-for-science-advancement-grants-for-scie.html,post-not-found,grants-science-research,33364
"Alliance for Cancer Gene Therapy",135240,already-tagged,grants-science-research,33364
"American Chemical Society",135272,already-tagged,grants-science-research,33364
"Battelle Memorial Institute",135297,already-tagged,grants-science-research,33364
"Bayer Foundations",135344,already-tagged,grants-science-research,33364
"Baxter International Foundation",135348,already-tagged,grants-science-research,33364
"Arnold and Mabel Beckman Foundation",135349,already-tagged,grants-science-research,33364
"Brinson Foundation",135377,already-tagged,grants-science-research,33364
"Broad Foundation",135975,already-tagged,grants-science-research,33364
"Burroughs Wellcome Fund",136176,already-tagged,grants-science-research,33364
"Catalyst Foundation",135405,already-tagged,grants-science-research,33364
"James H. Clark Charitable Foundation",135135,already-tagged,grants-science-research,33364
"Doris Duke Foundation",136135,already-tagged,grants-science-research,33364
"Camille and Henry Dreyfus Foundation",135483,already-tagged,grants-science-research,33364
"Elsevier Foundation",135080,already-tagged,grants-science-research,33364
"Gates Foundation",136278,already-tagged,grants-science-research,33364
"Genentech Foundation and Corporate Giving",135085,already-tagged,grants-science-research,33364
"Google.org",136438,already-tagged,grants-science-research,33364
"Lyda Hill Philanthropies",135543,already-tagged,grants-science-research,33364
"Howard Hughes Medical Institute",136201,already-tagged,grants-science-research,33364
"W. M. Keck Foundation",135645,already-tagged,grants-science-research,33364
"MacArthur Foundation",136205,already-tagged,grants-science-research,33364
"Research Corporation for Scientific Advancement",136210,already-tagged,grants-science-research,33364
"Sanofi Genzyme Corporation",136100,already-tagged,grants-science-research,33364
"Thomas and Stacey Siebel Foundation",136151,already-tagged,grants-science-research,33364
"Simons Foundation",136409,already-tagged,grants-science-research,33364
"Alfred P. Sloan Foundation",136233,already-tagged,grants-science-research,33364
"Xerox",136091,already-tagged,grants-science-research,33364
