post_title,post_id,tag_name,tag_id
"Katie McGrath and J.J. Abrams Family Foundation",135334,celebrity-foundations,33374
"Jessica Alba and Cash Warren",148264,celebrity-foundations,33374
"Alan and Arlene Alda",148252,celebrity-foundations,33374
"Byron Allen",148286,celebrity-foundations,33374
"Michael and Christine Angelakis",148162,celebrity-foundations,33374
"Apatow-Mann Family Foundation",144593,celebrity-foundations,33374
"Minoru and Yoko Arakawa",148182,celebrity-foundations,33374
"Neal Baer",148279,celebrity-foundations,33374
"David Baldacci",148271,celebrity-foundations,33374
"Hilaria and Alec Baldwin Foundation",144806,celebrity-foundations,33374
"Kenya Barris",148154,celebrity-foundations,33374
"Bob Barker",148243,celebrity-foundations,33374
"Charles Barkley",148292,celebrity-foundations,33374
"Greg Berlanti and Robbie Rogers",148153,celebrity-foundations,33374
"Lynn &#038; Les Bider Family Foundation",135299,celebrity-foundations,33374
"James Blake",148263,celebrity-foundations,33374
"Matthew and Susan Blank",148284,celebrity-foundations,33374
"Michael Bolton",148226,celebrity-foundations,33374
"Bono",148239,celebrity-foundations,33374
"Scooter and Yael Cohen Braun",148312,celebrity-foundations,33374
"Julian and Lois Brodsky",148159,celebrity-foundations,33374
"Jerry Bruckheimer",148197,celebrity-foundations,33374
"Don and Maggie Buchwald Foundation",144982,celebrity-foundations,33374
"SFC Charitable Foundation (Singing for Change)",136031,celebrity-foundations,33374
"James and Suzy Amis Cameron",148215,celebrity-foundations,33374
"Marcy Carsey",148304,celebrity-foundations,33374
"Joe and Trina Cayre Foundation",145002,celebrity-foundations,33374
"George and Amal Clooney",148123,celebrity-foundations,33374
"Sarah Miller Coulson",148199,celebrity-foundations,33374
"Katie Couric",148231,celebrity-foundations,33374
"Kirk and Julie Cousins",148147,celebrity-foundations,33374
"Mike and Linda Curb",148321,celebrity-foundations,33374
"Eat. Learn. Play. Foundation",135755,celebrity-foundations,33374
"Jamie Lee Curtis and Christopher Guest",148268,celebrity-foundations,33374
"Clive Davis",148222,celebrity-foundations,33374
"Cameron Diaz",148253,celebrity-foundations,33374
"Barry Diller and Diane von Furstenberg",148246,celebrity-foundations,33374
"Charles Dolan",148208,celebrity-foundations,33374
"Tom and Barbara Dooley",148150,celebrity-foundations,33374
"Michael Douglas and Catherine Zeta-Jones",148152,celebrity-foundations,33374
"Peter Douglas Foundation",145121,celebrity-foundations,33374
"Dr. Dre",148311,celebrity-foundations,33374
"Kevin Durant",148167,celebrity-foundations,33374
"Eisner Foundation",135856,celebrity-foundations,33374
"Eminem",148212,celebrity-foundations,33374
"Charles and Cantey Ergen",148310,celebrity-foundations,33374
"Gloria and Emilio Estefan",148240,celebrity-foundations,33374
