post_title,post_id,tag_name,tag_id
"128 Collective",188283,grants-civic-democracy,33336
"Abelard Foundation",135265,grants-civic-democracy,33336
"Additional Ventures",136021,grants-civic-democracy,33336
"Agua Fund",135455,grants-civic-democracy,33336
"Rita Allen Foundation",135241,grants-civic-democracy,33336
"Alphawood Foundation",135221,grants-civic-democracy,33336
"Amalgamated Foundation",135138,grants-civic-democracy,33336
"AMB Foundation",135896,grants-civic-democracy,33336
"Anderson-Rogers Foundation",135218,grants-civic-democracy,33336
"Arca Foundation",135981,grants-civic-democracy,33336
"Arkay Foundation",135227,grants-civic-democracy,33336
"Arnold Ventures",136436,grants-civic-democracy,33336
"Aviv Foundation",135162,grants-civic-democracy,33336
"Mary Reynolds Babcock Foundation",135341,grants-civic-democracy,33336
"Ballmer Group",135978,grants-civic-democracy,33336
"Baring Foundation",135339,grants-civic-democracy,33336
"B.W. Bastian Foundation",135337,grants-civic-democracy,33336
"Bauman Foundation",135977,grants-civic-democracy,33336
"Benjamin Fund",135363,grants-civic-democracy,33336
"Ben &#038; Jerry’s Foundation",135382,grants-civic-democracy,33336
"Black Voices for Black Justice Fund",136336,grants-civic-democracy,33336
"Arthur M. Blank Family Foundation",136315,grants-civic-democracy,33336
"Bloomberg Philanthropies",135976,grants-civic-democracy,33336
"Lynde and Harry Bradley Foundation",135381,grants-civic-democracy,33336
"Bohemian Foundation",135362,grants-civic-democracy,33336
"Branscomb Family Foundation",135296,grants-civic-democracy,33336
"Brown Foundation",135319,grants-civic-democracy,33336
"Susan Thompson Buffett Foundation",136256,grants-civic-democracy,33336
"California Community Foundation",145222,grants-civic-democracy,33336
"Careth Foundation",135402,grants-civic-democracy,33336
"Carnegie Corporation of New York",136018,grants-civic-democracy,33336
"The Carter Center",135419,grants-civic-democracy,33336
"Case Foundation",135304,grants-civic-democracy,33336
"Marguerite Casey Foundation",136035,grants-civic-democracy,33336
"Chicago Community Trust",145100,grants-civic-democracy,33336
"ClimateWorks Foundation",136076,grants-civic-democracy,33336
"Climate Emergency Fund",135305,grants-civic-democracy,33336
"Naomi and Nehemiah Cohen Foundation",135276,grants-civic-democracy,33336
"CS Fund/Warsh Mott Legacy",135401,grants-civic-democracy,33336
"Wallace H. Coulter Foundation",135197,grants-civic-democracy,33336
"craigslist Charitable Fund",135435,grants-civic-democracy,33336
"CrossCurrents Foundation",135400,grants-civic-democracy,33336
"Nathan Cummings Foundation",136178,grants-civic-democracy,33336
"Democracy Alliance",136182,grants-civic-democracy,33336
"Democracy Fund",136000,grants-civic-democracy,33336
"Devon Creek Foundation",135461,grants-civic-democracy,33336
"William H. Donner Foundation",135456,grants-civic-democracy,33336
"Dorsey &#038; Whitney Foundation",135459,grants-civic-democracy,33336
"Jessie Ball duPpont Fund",135478,grants-civic-democracy,33336
"Edison International",135449,grants-civic-democracy,33336
"Educational Foundation of America",135164,grants-civic-democracy,33336
"Emerson Charitable Trust",135059,grants-civic-democracy,33336
"Emerson Collective",136023,grants-civic-democracy,33336
"Moses Feldman Family Foundation",135518,grants-civic-democracy,33336
"F Three Foundation",135523,grants-civic-democracy,33336
"Leland Fikes Foundation",135503,grants-civic-democracy,33336
"Foundation for a Just Society",135512,grants-civic-democracy,33336
"Foundation for the Carolinas",144523,grants-civic-democracy,33336
"Freedom Together Foundation",136283,grants-civic-democracy,33336
"The Fund for Change",135063,grants-civic-democracy,33336
"Fund for a Safer Future",135522,grants-civic-democracy,33336
"Galaxy Gives Foundation",136277,grants-civic-democracy,33336
"Gannett Foundation ",135104,grants-civic-democracy,33336
"Gates Foundation",136278,grants-civic-democracy,33336
"David Geffen Foundation",135537,grants-civic-democracy,33336
"General Service Foundation",135491,grants-civic-democracy,33336
"Wallace Alexander Gerbode Foundation",135558,grants-civic-democracy,33336
"Mertz Gilmore Foundation",135673,grants-civic-democracy,33336
"Lisa and Douglas Goldman Fund",135408,grants-civic-democracy,33336
