post_title,post_id,tag_name,tag_id
"11th Hour Project",188286,grants-for-racial-equity-justice,33369
"Advancement Project",135142,grants-for-racial-equity-justice,33369
"Agua Fund",135455,grants-for-racial-equity-justice,33369
"Akonadi Foundation",135555,grants-for-racial-equity-justice,33369
"Ally Charitable Foundation",135139,grants-for-racial-equity-justice,33369
"Amalgamated Foundation",135138,grants-for-racial-equity-justice,33369
"AMB Foundation",135896,grants-for-racial-equity-justice,33369
"Amgen Foundation",135476,grants-for-racial-equity-justice,33369
"Andrus Family Fund",135287,grants-for-racial-equity-justice,33369
"Angelica Foundation",135252,grants-for-racial-equity-justice,33369
"Arca Foundation",135981,grants-for-racial-equity-justice,33369
"Arch Community Fund",184302,grants-for-racial-equity-justice,33369
"Astraea Lesbian Foundation for Justice",135999,grants-for-racial-equity-justice,33369
"AT&#038;T Foundation",135199,grants-for-racial-equity-justice,33369
"Aviv Foundation",135162,grants-for-racial-equity-justice,33369
"Ballmer Group",135978,grants-for-racial-equity-justice,33369
"Black Girl Freedom Fund",135980,grants-for-racial-equity-justice,33369
"Black Public Media",135495,grants-for-racial-equity-justice,33369
"Black Voices for Black Justice Fund",136336,grants-for-racial-equity-justice,33369
"Blavatnik Family Foundation",135177,grants-for-racial-equity-justice,33369
"Morton K. and Jane Blaustein Foundation",135384,grants-for-racial-equity-justice,33369
"Borealis Philanthropy",135979,grants-for-racial-equity-justice,33369
"Butler Family Fund",135328,grants-for-racial-equity-justice,33369
"Margaret A. Cargill Philanthropies",136017,grants-for-racial-equity-justice,33369
"California Black Freedom Fund",135036,grants-for-racial-equity-justice,33369
"Center for Arab American Philanthropy",135306,grants-for-racial-equity-justice,33369
"Channel Foundation",135354,grants-for-racial-equity-justice,33369
"Christensen Fund",135308,grants-for-racial-equity-justice,33369
"Clara Lionel Foundation",136197,grants-for-racial-equity-justice,33369
"Climate and Clean Energy Equity Fund",136036,grants-for-racial-equity-justice,33369
"Color of Change",135303,grants-for-racial-equity-justice,33369
"The Commonwealth Fund",136019,grants-for-racial-equity-justice,33369
"Common Stream",135416,grants-for-racial-equity-justice,33369
"Nathan Cummings Foundation",136178,grants-for-racial-equity-justice,33369
"Dominion Energy Charitable Foundation",135466,grants-for-racial-equity-justice,33369
"Jessie Ball duPpont Fund",135478,grants-for-racial-equity-justice,33369
"Embrey Family Foundation",135273,grants-for-racial-equity-justice,33369
"FCA Foundation",135485,grants-for-racial-equity-justice,33369
"Moses Feldman Family Foundation",135518,grants-for-racial-equity-justice,33369
"Finish Line Youth Foundation",135525,grants-for-racial-equity-justice,33369
"Ford Foundation",136343,grants-for-racial-equity-justice,33369
"Ford Motor Company Fund",135499,grants-for-racial-equity-justice,33369
"Foundation for a Just Society",135512,grants-for-racial-equity-justice,33369
"Freedom Together Foundation",136283,grants-for-racial-equity-justice,33369
"Funders for Justice",136344,grants-for-racial-equity-justice,33369
"General Motors Company",135487,grants-for-racial-equity-justice,33369
"General Service Foundation",135491,grants-for-racial-equity-justice,33369
"Google.org",136438,grants-for-racial-equity-justice,33369
"Charles M. and Mary D. Grant Foundation ",135067,grants-for-racial-equity-justice,33369
"Grantmakers for Girls of Color",135983,grants-for-racial-equity-justice,33369
"Hill-Snowdon Foundation",135551,grants-for-racial-equity-justice,33369
"Hive Fund for Climate and Gender Justice",136346,grants-for-racial-equity-justice,33369
"Kataly Foundation",135897,grants-for-racial-equity-justice,33369
"Kalliopeia Foundation",136043,grants-for-racial-equity-justice,33369
"Eugene M. Lang Foundation ",135699,grants-for-racial-equity-justice,33369
"Jacob and Valeria Langeloth Foundation ",135706,grants-for-racial-equity-justice,33369
"Lannan Foundation",136224,grants-for-racial-equity-justice,33369
"Leonard-Litz Foundation",135700,grants-for-racial-equity-justice,33369
"Max and Anna Levinson Foundation",135704,grants-for-racial-equity-justice,33369
"Liberty Hill Foundation ",136222,grants-for-racial-equity-justice,33369
"Libra Foundation",136221,grants-for-racial-equity-justice,33369
"Lilly Endowment",136219,grants-for-racial-equity-justice,33369
"Eli Lilly and Company Foundation",136220,grants-for-racial-equity-justice,33369
"Reva and David Logan Foundation ",135723,grants-for-racial-equity-justice,33369
"Henry Luce Foundation ",202927,grants-for-racial-equity-justice,33369
"Lumina Foundation",135730,grants-for-racial-equity-justice,33369
"Masto Foundation",184268,grants-for-racial-equity-justice,33369
"Medtronic Foundation",135757,grants-for-racial-equity-justice,33369
"Mellon Foundation",136407,grants-for-racial-equity-justice,33369
"Mize Family Foundation",135712,grants-for-racial-equity-justice,33369
"Moriah Fund",135796,grants-for-racial-equity-justice,33369
"Ms. Foundation for Women",135815,grants-for-racial-equity-justice,33369
"National Association of Latino Arts and Cultures",136080,grants-for-racial-equity-justice,33369
"National Performance Network",184263,grants-for-racial-equity-justice,33369
"NEO Philanthropy",136209,grants-for-racial-equity-justice,33369
"Jessie Smith Noyes Foundation",135773,grants-for-racial-equity-justice,33369
"Omidyar Network",135990,grants-for-racial-equity-justice,33369
"Open Society Foundations",135862,grants-for-racial-equity-justice,33369
"David and Lucile Packard Foundation ",136290,grants-for-racial-equity-justice,33369
"Park Foundation ",135940,grants-for-racial-equity-justice,33369
"Pershing Square Foundation ",135903,grants-for-racial-equity-justice,33369
"Pink House Foundation ",135970,grants-for-racial-equity-justice,33369
"Potlatch Fund",134999,grants-for-racial-equity-justice,33369
"Prospect Hill Foundation ",135909,grants-for-racial-equity-justice,33369
"Proteus Fund",136261,grants-for-racial-equity-justice,33369
"Public Welfare Foundation",136262,grants-for-racial-equity-justice,33369
"Resist",136063,grants-for-racial-equity-justice,33369
"Joseph and Florence Roblee Foundation",136068,grants-for-racial-equity-justice,33369
"Rockefeller Foundation",136246,grants-for-racial-equity-justice,33369
"Rockefeller Brothers Fund",136243,grants-for-racial-equity-justice,33369
"Russell Sage Foundation",136086,grants-for-racial-equity-justice,33369
"Samueli Foundation",136101,grants-for-racial-equity-justice,33369
"Skoll Foundation",136232,grants-for-racial-equity-justice,33369
"Alfred P. Sloan Foundation",136233,grants-for-racial-equity-justice,33369
"Solidaire Network",136248,grants-for-racial-equity-justice,33369
"Alexander Soros Foundation",135883,grants-for-racial-equity-justice,33369
"Stand Together Foundation",203171,grants-for-racial-equity-justice,33369
"Robert Sterling Clark Foundation",136358,grants-for-racial-equity-justice,33369
"Swift Foundation",136153,grants-for-racial-equity-justice,33369
"TEGNA Foundation",136088,grants-for-racial-equity-justice,33369
"Threshold Foundation ",135852,grants-for-racial-equity-justice,33369
"Transgender Law Center",136034,grants-for-racial-equity-justice,33369
"T. Rowe Price Foundation",135954,grants-for-racial-equity-justice,33369
"The Tzedek Social Justice Fund (formerly Amy Mandel and Katina Rodis Fund)",135024,grants-for-racial-equity-justice,33369
"Visa Foundation",135029,grants-for-racial-equity-justice,33369
"Voqal",135030,grants-for-racial-equity-justice,33369
"Walmart Foundation",136173,grants-for-racial-equity-justice,33369
"Waverley Street Foundation",136194,grants-for-racial-equity-justice,33369
"Weissberg Foundation",135807,grants-for-racial-equity-justice,33369
"Wellspring Philanthropic Fund",136113,grants-for-racial-equity-justice,33369
"Wend Collective",136446,grants-for-racial-equity-justice,33369
"Wikimedia Foundation",135821,grants-for-racial-equity-justice,33369
"Wild Geese Foundation",136172,grants-for-racial-equity-justice,33369
