post_title,post_id,tag_name,tag_id
"444S Foundation",188149,grants-indigenous-rights-justice,33367
"Agua Fund",135455,grants-indigenous-rights-justice,33367
"Angelica Foundation",135252,grants-indigenous-rights-justice,33367
"Astraea Lesbian Foundation for Justice",135999,grants-indigenous-rights-justice,33367
"Bia-Echo Foundation",135295,grants-indigenous-rights-justice,33367
"Morton K. and Jane Blaustein Foundation",135384,grants-indigenous-rights-justice,33367
"Bloomberg Philanthropies",135976,grants-indigenous-rights-justice,33367
"Channel Foundation",135354,grants-indigenous-rights-justice,33367
"Christensen Fund",135308,grants-indigenous-rights-justice,33367
"Wallace H. Coulter Foundation",135197,grants-indigenous-rights-justice,33367
"Colorado Plateau Foundation",206306,grants-indigenous-rights-justice,33367
"Democracy Fund",136000,grants-indigenous-rights-justice,33367
"Edgerton Foundation",135407,grants-indigenous-rights-justice,33367
"Foundation for a Just Society",135512,grants-indigenous-rights-justice,33367
"Freedom Together Foundation",136283,grants-indigenous-rights-justice,33367
"Funders for Justice",136344,grants-indigenous-rights-justice,33367
"Grove Foundation ",136437,grants-indigenous-rights-justice,33367
"William and Flora Hewlett Foundation",136439,grants-indigenous-rights-justice,33367
"Hive Fund for Climate and Gender Justice",136346,grants-indigenous-rights-justice,33367
"Inatai Foundation",8228,grants-indigenous-rights-justice,33367
"Kataly Foundation",135897,grants-indigenous-rights-justice,33367
"Kalliopeia Foundation",136043,grants-indigenous-rights-justice,33367
"Lannan Foundation",136224,grants-indigenous-rights-justice,33367
"MACY&#8217;S Inc.",135674,grants-indigenous-rights-justice,33367
"Max and Anna Levinson Foundation",135704,grants-indigenous-rights-justice,33367
"Libra Foundation",136221,grants-indigenous-rights-justice,33367
"Lilly Endowment",136219,grants-indigenous-rights-justice,33367
"Eli Lilly and Company Foundation",136220,grants-indigenous-rights-justice,33367
"Reva and David Logan Foundation ",135723,grants-indigenous-rights-justice,33367
"Henry Luce Foundation ",202927,grants-indigenous-rights-justice,33367
"Lumina Foundation",135730,grants-indigenous-rights-justice,33367
"Masto Foundation",184268,grants-indigenous-rights-justice,33367
"Medtronic Foundation",135757,grants-indigenous-rights-justice,33367
"Mellon Foundation",136407,grants-indigenous-rights-justice,33367
"Mize Family Foundation",135712,grants-indigenous-rights-justice,33367
"Ms. Foundation for Women",135815,grants-indigenous-rights-justice,33367
"National Association of Latino Arts and Cultures",136080,grants-indigenous-rights-justice,33367
"NB3 Foundation",144143,grants-indigenous-rights-justice,33367
"NEO Philanthropy",136209,grants-indigenous-rights-justice,33367
"New Venture Fund",136240,grants-indigenous-rights-justice,33367
"NoVo Foundation",135763,grants-indigenous-rights-justice,33367
"Jessie Smith Noyes Foundation",135773,grants-indigenous-rights-justice,33367
"Oak Foundation",136371,grants-indigenous-rights-justice,33367
"Open Society Foundations",135862,grants-indigenous-rights-justice,33367
"David and Lucile Packard Foundation ",136290,grants-indigenous-rights-justice,33367
"Pew Charitable Trusts",136228,grants-indigenous-rights-justice,33367
"Potlatch Fund",134999,grants-indigenous-rights-justice,33367
"Rockefeller Foundation",136246,grants-indigenous-rights-justice,33367
"Rockefeller Brothers Fund",136243,grants-indigenous-rights-justice,33367
"Samueli Foundation",136101,grants-indigenous-rights-justice,33367
"Santa Fe Natural Tobacco Company Foundation",143559,grants-indigenous-rights-justice,33367
"Alfred P. Sloan Foundation",136233,grants-indigenous-rights-justice,33367
"Solidaire Network",136248,grants-indigenous-rights-justice,33367
"Swift Foundation",136153,grants-indigenous-rights-justice,33367
"Threshold Foundation ",135852,grants-indigenous-rights-justice,33367
"Tides Foundation",136267,grants-indigenous-rights-justice,33367
"Toyota USA Foundation and Corporate Giving ",135912,grants-indigenous-rights-justice,33367
"True North Family Foundation",8380,grants-indigenous-rights-justice,33367
"United Health Foundation",136013,grants-indigenous-rights-justice,33367
"Waverley Street Foundation",136194,grants-indigenous-rights-justice,33367
"Wellspring Philanthropic Fund",136113,grants-indigenous-rights-justice,33367
