post_title,post_id,tag_name,tag_id
"Bradley and Carolyn Abelow",147583,wall-street-donors,33377
"Leonard and Jayne Abess",147584,wall-street-donors,33377
"David and Amy Abrams",147585,wall-street-donors,33377
"Richard and Iris Abrons",147558,wall-street-donors,33377
"Bill Ackman",147582,wall-street-donors,33377
"Daniel and Gisela Ades",147536,wall-street-donors,33377
"Daniel Akerson",147615,wall-street-donors,33377
"Chuck T. Akre",147580,wall-street-donors,33377
"Margo Alexander",147598,wall-street-donors,33377
"Herbert Allen Foundation",144903,wall-street-donors,33377
"Dennis Alter",148081,wall-street-donors,33377
"Jeffrey A. Altman",147579,wall-street-donors,33377
"Arnold Ventures",136436,wall-street-donors,33377
"Jeffrey and Shari Aronson",147596,wall-street-donors,33377
"Adrienne Arsht",148080,wall-street-donors,33377
"Clifford and Laurel Asness",147595,wall-street-donors,33377
"Richard and Lezlie Atlas",147593,wall-street-donors,33377
"Greg and Anne Avis",147605,wall-street-donors,33377
"Louis Bacon",147589,wall-street-donors,33377
"Felix and Heather Baker",147597,wall-street-donors,33377
"Frank Baker and Laura Day",147594,wall-street-donors,33377
"Jon and Patricia Baker",147608,wall-street-donors,33377
"Julian C. Baker",147614,wall-street-donors,33377
"Dmitry Balyasny",147613,wall-street-donors,33377
"Brett and Meaghan Barakett",147535,wall-street-donors,33377
"Timothy and Michele Barakett",147603,wall-street-donors,33377
"Michael Barnes and Lisa Underwood",147616,wall-street-donors,33377
"Ron and Judy Baron",147601,wall-street-donors,33377
"John and Daria Barry",147637,wall-street-donors,33377
"Robert and Anne Bass",147610,wall-street-donors,33377
"Andrew Beal",147618,wall-street-donors,33377
"Anson and Debra Beard",147604,wall-street-donors,33377
"Harvey and Jayne Beker",147635,wall-street-donors,33377
"Laurence and Carolyn Belfer",147612,wall-street-donors,33377
"Gilchrist and Amy Berg",147629,wall-street-donors,33377
"Nicolas Berggruen",147566,wall-street-donors,33377
"William Berkley",147575,wall-street-donors,33377
"Bruce and Tracey Berkowitz",147564,wall-street-donors,33377
"Carol Bernick",147570,wall-street-donors,33377
"John and Amy Smith Berylson",147574,wall-street-donors,33377
"Les and Sheri Biller",147561,wall-street-donors,33377
"Gordon and Adele Binder",147565,wall-street-donors,33377
"O. Francis Biondi Jr. and Jamie Nicholls",147590,wall-street-donors,33377
"Debra and Leon Black Family Foundation",135095,wall-street-donors,33377
"David and Allison Blitzer",147587,wall-street-donors,33377
"Bloomberg Philanthropies",135976,wall-street-donors,33377
"Richard Blum",147586,wall-street-donors,33377
"Geoffrey and Norine Boisi",147588,wall-street-donors,33377
"Scott and Roxanne Bok",147581,wall-street-donors,33377
"David and Suzanne Deal Booth",147600,wall-street-donors,33377
"Richard and Susan Braddock",147599,wall-street-donors,33377
"Orlando and Katy Bravo",147617,wall-street-donors,33377
"Alan and Ellen Breed",147609,wall-street-donors,33377
"Gary P. Brinson",147636,wall-street-donors,33377
"Eddie and Sylvia Brown",147627,wall-street-donors,33377
"Peter Brown and Margaret Hamburg",147517,wall-street-donors,33377
"Warren Buffett",1094,wall-street-donors,33377
"Donald and Lynne Bulens",147639,wall-street-donors,33377
"David and Denise Bunning",147656,wall-street-donors,33377
"Passport Foundation",135090,wall-street-donors,33377
"Ronald W. Burkle",147641,wall-street-donors,33377
"Dort A. Cameron, III.",148093,wall-street-donors,33377
"John and Rita Canning",147653,wall-street-donors,33377
"Kenneth and Debra Caplan",147678,wall-street-donors,33377
"Clint and Nancy Carlson",147606,wall-street-donors,33377
"Russell and Judy Carson",147670,wall-street-donors,33377
"G. Staley Cates",147671,wall-street-donors,33377
"Derwood S. Chase",147658,wall-street-donors,33377
"Jerome and Simona Chazen",147661,wall-street-donors,33377
"Kenneth and Kathryn Chenault",147646,wall-street-donors,33377
"Clifford and Leigh Chiu",147676,wall-street-donors,33377
"Thomas Claugus and Beatriz Illescas",147657,wall-street-donors,33377
"Andrew and Susan Code",147677,wall-street-donors,33377
"Abby and David Cohen",147644,wall-street-donors,33377
"Steven &amp; Alexandra Cohen Foundation",136235,wall-street-donors,33377
"Christopher and Barbara Cole",147643,wall-street-donors,33377
"Chase and Stephanie Coleman",147649,wall-street-donors,33377
"Jean-Pierre L. Conte",147674,wall-street-donors,33377
"Robert and Marlyn Day",148117,wall-street-donors,33377
"Edward Conard and Jill Davis",147668,wall-street-donors,33377
"William and Joanne Conway",147675,wall-street-donors,33377
"Leon and Toby Cooperman",147652,wall-street-donors,33377
"Peter and Judy Copses",147673,wall-street-donors,33377
"Carlos Cordeiro",147645,wall-street-donors,33377
"Henry and Vanessa Cornell",147689,wall-street-donors,33377
"E. Gerald and Cathy Corrigan",147680,wall-street-donors,33377
"Jon S. Corzine",147698,wall-street-donors,33377
"James and Penny Coulter",147665,wall-street-donors,33377
"Gordon and Dona Crawford",147672,wall-street-donors,33377
"Ravenel Curry",147697,wall-street-donors,33377
"Ray and Barbara Dalio",147692,wall-street-donors,33377
"John and Katherine Danhakl",147660,wall-street-donors,33377
"Orange Crimson Foundation",136443,wall-street-donors,33377
"Arthur Dantchik",147691,wall-street-donors,33377
"Kingfisher Foundation",136370,wall-street-donors,33377
"Michael Davis &amp; Jyll Johnstone",186406,wall-street-donors,33377
"Gary and Ellen Davis",147685,wall-street-donors,33377
"Shelby M.C. and Gayle Davis",147717,wall-street-donors,33377
"Thompson and Caroline Dean",147682,wall-street-donors,33377
"Richard and Barbara Debs",147710,wall-street-donors,33377
"David A. Dechman",147681,wall-street-donors,33377
"Raymond and Carmen Debbane",147695,wall-street-donors,33377
"Steven and Roberta Denning",147684,wall-street-donors,33377
"Rohit and Katharine Desai",147709,wall-street-donors,33377
"Feroz and Erica Dewan",147716,wall-street-donors,33377
"Martin and Carol Dickinson",147711,wall-street-donors,33377
"Joseph and Diana DiMenna",147708,wall-street-donors,33377
"James and Judith Dimon",147703,wall-street-donors,33377
"Matt and Gretchen DiNapoli Family Foundation",145239,wall-street-donors,33377
"J. Philip and Jennifer DiNapoli Foundation",145196,wall-street-donors,33377
"James Dinan and Elizabeth Miller",147705,wall-street-donors,33377
"Anne Dinning",148528,wall-street-donors,33377
"Anthony and Deanna DiNovi",147712,wall-street-donors,33377
"Dobkin Family Foundation",135460,wall-street-donors,33377
"Richard Driehaus",147702,wall-street-donors,33377
"Druckenmiller Foundation",136041,wall-street-donors,33377
"Glenn and Eva Dubin",147700,wall-street-donors,33377
"Connie Duckworth and Thomas Kadrovach",147714,wall-street-donors,33377
"William and Rebecca Dunn",147571,wall-street-donors,33377
"Blair and Cheryl Effron",147659,wall-street-donors,33377
"Ehrenkranz Family Foundation",135450,wall-street-donors,33377
"David Einhorn",147572,wall-street-donors,33377
"Stephen Einhorn",147624,wall-street-donors,33377
"Einhorn Collaborative",135576,wall-street-donors,33377
"Joseph and Barbara Ellis",147687,wall-street-donors,33377
"Thomas and Sue Ellison",147516,wall-street-donors,33377
"Kevin Eng and Un Hae Song: Wall Street Grants",147632,wall-street-donors,33377
"Israel Englander",147568,wall-street-donors,33377
"Betty and Jean-Marie Eveillard",147686,wall-street-donors,33377
"Fascitelli Family Foundation",145061,wall-street-donors,33377
"Peter and Paula Fasseas",147640,wall-street-donors,33377
"Andrew Feldstein and Jane Veron",147576,wall-street-donors,33377
"Carl and Judy Ferenbach",147634,wall-street-donors,33377
"Sean Fieler",147693,wall-street-donors,33377
"Lori and Mark Fife Foundation",145043,wall-street-donors,33377
"Paul and Mary Finnegan",147690,wall-street-donors,33377
"William and Patricia Finneran",147591,wall-street-donors,33377
"Ken and Sherrilyn Fisher",147667,wall-street-donors,33377
"William and Sakurako Fisher",147763,wall-street-donors,33377
"Doug and Livvy Floren",147611,wall-street-donors,33377
"J. Christopher and Anne Flowers",147573,wall-street-donors,33377
"Lee and Juliet Folger",147706,wall-street-donors,33377
"Gerald and Kelli Ford",147744,wall-street-donors,33377
"Richard and Irma Frank",147786,wall-street-donors,33377
"Richard and Barbara Franke",147701,wall-street-donors,33377
"Stephen C. Freidheim",147669,wall-street-donors,33377
"Brian Friedman and Barbara Shulman",147688,wall-street-donors,33377
"Richard and Susan Friedman",147651,wall-street-donors,33377
"Stephen and Barbara Benioff Friedman",147662,wall-street-donors,33377
"Tully and Elise Friedman",147728,wall-street-donors,33377
"David and Pamela Ford",147719,wall-street-donors,33377
"Alan and Jennifer Fournier",147780,wall-street-donors,33377
"Billy Frist",147740,wall-street-donors,33377
"Glenn and Amanda Fuhrman",148137,wall-street-donors,33377
"Daniel and RoseMary&nbsp;Fuss",545,wall-street-donors,33377
"Christopher and Cynthia Galvin",147775,wall-street-donors,33377
"Donald Gant",147726,wall-street-donors,33377
"Nathan and Alice Gantcher",147626,wall-street-donors,33377
"Joseph and Susan Gatto",147752,wall-street-donors,33377
"Julius Gaudio",147577,wall-street-donors,33377
"Mario J. Gabelli",147734,wall-street-donors,33377
"David Gelbaum",147731,wall-street-donors,33377
"Brian and Frank Gelber",147782,wall-street-donors,33377
"Michael E. Gellert Trust",136422,wall-street-donors,33377
"Sparkplug Foundation",136410,wall-street-donors,33377
"Charles and Margaret Gerber",147893,wall-street-donors,33377
"James and Barbara Gerson",147569,wall-street-donors,33377
"David and Kelly Gerstenhaber",147560,wall-street-donors,33377
"Louis V. Gerstner Jr.",147730,wall-street-donors,33377
"Larry and Beth Gies",147747,wall-street-donors,33377
"Dan and Jennifer Gilbert",147650,wall-street-donors,33377
"Richard Gilder and Lois Chiles",147773,wall-street-donors,33377
"Robert Gillam",147832,wall-street-donors,33377
"Paul F. Glenn",147679,wall-street-donors,33377
"Bob and Pamela Goergen",147621,wall-street-donors,33377
"Bennett and Meg Goodman",147631,wall-street-donors,33377
"John R. &#038; Kiendl Dauphinot Gordon Fund",136421,wall-street-donors,33377
"Tom and Holly Gores",147772,wall-street-donors,33377
"James and Audrey Gorter",147896,wall-street-donors,33377
"David and Ruth Gottesman",147801,wall-street-donors,33377
"Jonathan and Mindy Gray",147776,wall-street-donors,33377
"John and Eilene Grayken",147638,wall-street-donors,33377
"Joshua Green Foundation",8364,wall-street-donors,33377
"Glenn Greenberg and Linda Vester",147768,wall-street-donors,33377
"Maurice and Corinne Greenberg",147828,wall-street-donors,33377
"Jeff Greene and Mei Sze Chan",148473,wall-street-donors,33377
"Greenstein Family Foundation",8354,wall-street-donors,33377
"Griffin Catalyst",199961,wall-street-donors,33377
"John and Amy Griffin",147756,wall-street-donors,33377
"Bill Gross",148136,wall-street-donors,33377
"Michael and Viki Gross",147793,wall-street-donors,33377
"Phillip and Elizabeth Gross",147766,wall-street-donors,33377
"Brian and Beth Grossman",147785,wall-street-donors,33377
"Wycliffe Grousbeck",147724,wall-street-donors,33377
"Gruber Family Foundation ",135041,wall-street-donors,33377
"Jerry and Kathleen Grundhofer",147727,wall-street-donors,33377
"John and Patricia Grundhofer",147623,wall-street-donors,33377
"Christopher and Susan Gust",147779,wall-street-donors,33377
"Joseph and Sheila Gutman",147666,wall-street-donors,33377
"Spencer B. Haber",147699,wall-street-donors,33377
"Carl Haefling and Pamela Johnson",147713,wall-street-donors,33377
"S A and Nina Ibrahim",147758,wall-street-donors,33377
"Rupert and Maryellie Johnson",147770,wall-street-donors,33377
"Edmund and Barbara Hajim",147806,wall-street-donors,33377
"Jeffrey and Nancy Halis",147757,wall-street-donors,33377
"Patrick and Kathleen Halloran",147815,wall-street-donors,33377
"Jonathan C. Hamill",147781,wall-street-donors,33377
"Fred and Stephanie Curtis Harman",147791,wall-street-donors,33377
"Jeffrey and Jamie Harris",147905,wall-street-donors,33377
"Josh and Marjorie Harris",147737,wall-street-donors,33377
"Matthew and Jennifer Harris",147537,wall-street-donors,33377
"Andrew Hauptman and Ellen Bronfman Hauptman",147743,wall-street-donors,33377
"Daniel Healy",147723,wall-street-donors,33377
"Thomas and Margaret Healey",147771,wall-street-donors,33377
"Stephen and Ruth Hendel",148280,wall-street-donors,33377
"David and Joan Henle",147748,wall-street-donors,33377
"John and Linda Henry",147987,wall-street-donors,33377
"David Herro",147925,wall-street-donors,33377
"Roger and Susan Hertog",147792,wall-street-donors,33377
"Brian Higgins",147912,wall-street-donors,33377
"J. Tomilson and Janine Hill",147969,wall-street-donors,33377
"Howard and Sandra Hoffen",147820,wall-street-donors,33377
"Allan and Shelley Holt",147742,wall-street-donors,33377
"Stewart Horejsi",147927,wall-street-donors,33377
"Robert and Soledad Hurst",147721,wall-street-donors,33377
"Glenn and Debbie Hutchins",147750,wall-street-donors,33377
"Jordan and Sarah Hymowitz",147982,wall-street-donors,33377
"Carl and Gail Icahn",147720,wall-street-donors,33377
"Tom Israel",147919,wall-street-donors,33377
"Mitchell Jacobson and Kathy Howard-Jacobson",147739,wall-street-donors,33377
"Ajit and Tinku Jain",147777,wall-street-donors,33377
"Christopher M. James",147762,wall-street-donors,33377
"The James Family Charitable Foundation",135087,wall-street-donors,33377
"Thomas and Mary James",147788,wall-street-donors,33377
"Reuben Jeffery III",148024,wall-street-donors,33377
"Ping and Yibing Jiang",147816,wall-street-donors,33377
"Abigail Johnson",147880,wall-street-donors,33377
"Charles B. Johnson",147842,wall-street-donors,33377
"Edward C. Johnson III",148458,wall-street-donors,33377
"Suzanne Nora Johnson and David Johnson",147952,wall-street-donors,33377
"Paul Tudor Jones",147891,wall-street-donors,33377
"Gerald and Darlene Jordan",148003,wall-street-donors,33377
"John W. Jordan II",147514,wall-street-donors,33377
"David Kabiller",147749,wall-street-donors,33377
"Ann Kaplan and Robert Fippinger",148028,wall-street-donors,33377
"David and Meredith Kaplan",147513,wall-street-donors,33377
"Robert Kaplan",147754,wall-street-donors,33377
"Scott and Kathleen Kapnick",147949,wall-street-donors,33377
"Bruce and Martha Karsh",147954,wall-street-donors,33377
"George Kaiser",147808,wall-street-donors,33377
