post_title,post_id,tag_name,tag_id
"Alabama Power Foundation",144673,alabama-grants,33378
"Mary Reynolds Babcock Foundation",135341,alabama-grants,33378
"J. L. Bedsole Foundation",144707,alabama-grants,33378
"Lucille S. Beeson Charitable Remainder",144694,alabama-grants,33378
"Black Belt Community Foundation",144675,alabama-grants,33378
"Joseph S. Bruno Charitable Foundation",144674,alabama-grants,33378
"The Caring Foundation of Blue Cross Blue Shield of Alabama",144698,alabama-grants,33378
"Central Alabama Community Foundation",144703,alabama-grants,33378
"Community Foundation of Greater Birmingham",144676,alabama-grants,33378
"Community Foundation of Greater Decatur",144700,alabama-grants,33378
"Community Foundation of Greater Huntsville",144704,alabama-grants,33378
"Community Foundation of Northeast Alabama",144697,alabama-grants,33378
"Community Foundation of South Alabama",144709,alabama-grants,33378
"Community Foundation of West Alabama",144706,alabama-grants,33378
"Daniel Foundation",144677,alabama-grants,33378
"Greater Brewton Foundation",144702,alabama-grants,33378
"Jane K. Lowe Charitable Foundation",144708,alabama-grants,33378
"Limestone Area Community Foundation",144699,alabama-grants,33378
"Pleiad Foundation",144693,alabama-grants,33378
"Protective Life Foundation",144715,alabama-grants,33378
"Riverbend Foundation",144696,alabama-grants,33378
"Shelby County Community Health Foundation",144695,alabama-grants,33378
"Southeast Alabama Community Foundation",144701,alabama-grants,33378
"Walker Area Community Foundation",144705,alabama-grants,33378
"Women’s Fund of Greater Birmingham",144713,alabama-grants,33378
"Yellowhammer Fund",144714,alabama-grants,33378
