post_title,post_id,tag_name,tag_id
"Alaska Bar Foundation",144653,alaska-grants,33379
"Alaska Community Foundation",143677,alaska-grants,33379
"Alaska Conservation Foundation",143713,alaska-grants,33379
"Arctic Slope Community Foundation",143873,alaska-grants,33379
"Atwood Foundation",143674,alaska-grants,33379
"Bethel Community Services Foundation",143675,alaska-grants,33379
"Chilkat Valley Community Foundation",143620,alaska-grants,33379
"CIRI Foundation",143673,alaska-grants,33379
"Chugiak-Eagle River Foundation",143634,alaska-grants,33379
"First Alaskans Institute",143676,alaska-grants,33379
"Golden Heart Community Foundation",143615,alaska-grants,33379
"Sitka Legacy Foundation",143635,alaska-grants,33379
"Juneau Community Foundation",143874,alaska-grants,33379
"Kenai Peninsula Foundation",143633,alaska-grants,33379
"Ketchikan Community Foundation",143618,alaska-grants,33379
"Kodiak Community Foundation",143616,alaska-grants,33379
"MEA Charitable Foundation",143573,alaska-grants,33379
"Palmer Community Foundation",143617,alaska-grants,33379
"Petersburg Community Foundation",143619,alaska-grants,33379
"Pride Foundation",136241,alaska-grants,33379
"Rasmuson Foundation",206137,alaska-grants,33379
"Seward Community Foundation",143614,alaska-grants,33379
"Usibelli Foundation",143714,alaska-grants,33379
