post_title,post_id,tag_name,tag_id
"John W. Anderson Foundation",184926,indiana-grants,33389
"AWS Foundation",184923,indiana-grants,33389
"George and Frances Ball Foundation",184938,indiana-grants,33389
"Ball Brothers Foundation",184940,indiana-grants,33389
"Blue River Community Foundation",184934,indiana-grants,33389
"Central Indiana Community Foundation",184913,indiana-grants,33389
"Clowes Fund",184929,indiana-grants,33389
"Community Foundation Alliance",184928,indiana-grants,33389
"Community Foundation of Greater Fort Wayne",184942,indiana-grants,33389
"Community Foundation of Howard County",144637,indiana-grants,33389
"Community Foundation of Muncie &amp; Delaware County",184935,indiana-grants,33389
"Community Foundation of St. Joseph County",184911,indiana-grants,33389
"Community Foundation of Wabash County",184915,indiana-grants,33389
"Cummins Foundation",135078,indiana-grants,33389
"Dearborn Community Foundation",184932,indiana-grants,33389
"Christel DeHaan Family Foundation",184919,indiana-grants,33389
"Dekko Foundation",135437,indiana-grants,33389
"Elevance Health Foundation",136183,indiana-grants,33389
"Elkhart County Community Foundation",184912,indiana-grants,33389
"Richard M. Fairbanks Foundation",184922,indiana-grants,33389
"Finish Line Youth Foundation",135525,indiana-grants,33389
"Foellinger Foundation",184925,indiana-grants,33389
"Foundations of East Chicago",184931,indiana-grants,33389
"Glick Family Foundation",184927,indiana-grants,33389
"Harrison County Community Foundation",184937,indiana-grants,33389
"Heritage Fund &#8211; the Community Foundation of Bartholomew County",184914,indiana-grants,33389
"Koch Foundation",184917,indiana-grants,33389
"Kosciusko County Community Foundation",184933,indiana-grants,33389
"Legacy Foundation",184921,indiana-grants,33389
"Eli Lilly and Company Foundation",136220,indiana-grants,33389
"Lilly Endowment",136219,indiana-grants,33389
"Lincoln Financial Foundation ",135696,indiana-grants,33389
"Nicholas H. Noyes, Jr. Memorial Foundation",184920,indiana-grants,33389
"Porter County Community Foundation",184936,indiana-grants,33389
"Nina Mason Pulliam Charitable Trust",192264,indiana-grants,33389
"Paul Ogle Foundation",184924,indiana-grants,33389
"Welborn Baptist Foundation",184939,indiana-grants,33389
