post_title,post_id,tag_name,tag_id
"Bangor Savings Bank Foundation",145038,maine-grants,33394
"Becton Family Foundation",144995,maine-grants,33394
"Camden National Bank",145016,maine-grants,33394
"Cascade Foundation",144994,maine-grants,33394
"Fore River Foundation",144993,maine-grants,33394
"FSB Community Development Foundation",145018,maine-grants,33394
"Stephen and Tabitha King Foundation",145212,maine-grants,33394
"Machias Savings Bank",144996,maine-grants,33394
"Maine Community Foundation",144998,maine-grants,33394
"Maine Health Access Foundation",145021,maine-grants,33394
"Maine Initiatives",145017,maine-grants,33394
"Ford Foundation",136343,maine-grants,33394
"MainStreet Foundation",145019,maine-grants,33394
"Morton-Kelly Charitable Trust",145037,maine-grants,33394
"Saco &#038; Biddeford Savings Institution",145015,maine-grants,33394
"John Sage Foundation",145020,maine-grants,33394
"Doree Taylor Charitable Foundation",144997,maine-grants,33394
"Unity Foundation",145014,maine-grants,33394
"Wind Point Foundation",144973,maine-grants,33394
