post_title,post_id,tag_name,tag_id
"3M Corporate Giving",183857,minnesota-grants,33398
"Fred C. and Katherine B. Andersen Foundation",135200,minnesota-grants,33398
"F. R. Bigelow Foundation",143075,minnesota-grants,33398
"Blandin Foundation",142998,minnesota-grants,33398
"Bloomington Community Foundation",144160,minnesota-grants,33398
"Blue Cross and Blue Shield of Minnesota Foundation",143777,minnesota-grants,33398
"Otto Bremer Trust",136435,minnesota-grants,33398
"Patrick and Aimee Butler Family Foundation",143197,minnesota-grants,33398
"Bush Foundation",145250,minnesota-grants,33398
"Catholic Community Foundation of Minnesota",143019,minnesota-grants,33398
"Central Minnesota Community Foundation",144158,minnesota-grants,33398
"CHS Foundation",143196,minnesota-grants,33398
"Duluth-Superior Area Community Foundation",144159,minnesota-grants,33398
"Ecolab Foundation",135575,minnesota-grants,33398
"The Thomas and Julianne Youngren Foundation",143146,minnesota-grants,33398
"Engelsma Family Foundation",143145,minnesota-grants,33398
"FM Area Foundation",144989,minnesota-grants,33398
"George Family Foundation ",135615,minnesota-grants,33398
"General Mills Foundation ",136078,minnesota-grants,33398
"Hormel Foundation",143017,minnesota-grants,33398
"Initiative Foundation",143778,minnesota-grants,33398
"McKnight Foundation",136207,minnesota-grants,33398
"Medtronic Foundation",135757,minnesota-grants,33398
"Minneapolis Foundation",142997,minnesota-grants,33398
"Northland Foundation",143198,minnesota-grants,33398
"Northwest Area Foundation",135734,minnesota-grants,33398
"I.A. O’Shaughnessy Foundation",143775,minnesota-grants,33398
"RBC Foundation – USA",143776,minnesota-grants,33398
"Saint Paul &#038; Minnesota Foundation",142999,minnesota-grants,33398
"Richard M. Schulze Family Foundation",143000,minnesota-grants,33398
"Alex Stern Family Foundation",144962,minnesota-grants,33398
"J.A. Wedum Foundation",143800,minnesota-grants,33398
"Wells Fargo Foundation",135805,minnesota-grants,33398
