identifier,reason,tag_name,tag_id
135242,already-tagged,global-health,32541
135245,already-tagged,global-health,32541
135217,already-tagged,global-health,32541
135250,already-tagged,global-health,32541
136216,already-tagged,global-health,32541
135896,already-tagged,global-health,32541
135268,already-tagged,global-health,32541
135266,already-tagged,global-health,32541
135406,already-tagged,global-health,32541
135387,already-tagged,global-health,32541
135315,already-tagged,global-health,32541
135320,already-tagged,global-health,32541
135348,already-tagged,global-health,32541
135386,already-tagged,global-health,32541
135383,already-tagged,global-health,32541
136276,already-tagged,global-health,32541
135362,already-tagged,global-health,32541
135366,already-tagged,global-health,32541
135391,already-tagged,global-health,32541
135330,already-tagged,global-health,32541
135056,already-tagged,global-health,32541
136296,already-tagged,global-health,32541
135156,already-tagged,global-health,32541
135419,already-tagged,global-health,32541
135037,already-tagged,global-health,32541
135353,already-tagged,global-health,32541
135279,already-tagged,global-health,32541
136197,already-tagged,global-health,32541
135415,already-tagged,global-health,32541
136340,already-tagged,global-health,32541
135216,already-tagged,global-health,32541
135401,already-tagged,global-health,32541
136002,already-tagged,global-health,32541
135461,already-tagged,global-health,32541
135456,already-tagged,global-health,32541
135464,already-tagged,global-health,32541
136135,already-tagged,global-health,32541
135454,already-tagged,global-health,32541
135205,already-tagged,global-health,32541
135080,already-tagged,global-health,32541
135062,already-tagged,global-health,32541
135595,already-tagged,global-health,32541
135061,already-tagged,global-health,32541
135513,already-tagged,global-health,32541
135511,already-tagged,global-health,32541
135507,already-tagged,global-health,32541
200530,already-tagged,global-health,32541
136343,already-tagged,global-health,32541
135512,already-tagged,global-health,32541
135532,already-tagged,global-health,32541
136278,already-tagged,global-health,32541
135488,already-tagged,global-health,32541
135557,already-tagged,global-health,32541
136079,already-tagged,global-health,32541
135412,already-tagged,global-health,32541
135169,already-tagged,global-health,32541
135274,already-tagged,global-health,32541
136279,already-tagged,global-health,32541
135490,already-tagged,global-health,32541
135192,already-tagged,global-health,32541
135411,already-tagged,global-health,32541
136438,already-tagged,global-health,32541
135917,already-tagged,global-health,32541
136185,already-tagged,global-health,32541
136439,already-tagged,global-health,32541
135547,already-tagged,global-health,32541
136004,already-tagged,global-health,32541
136200,already-tagged,global-health,32541
135584,already-tagged,global-health,32541
135574,already-tagged,global-health,32541
135585,already-tagged,global-health,32541
136425,already-tagged,global-health,32541
135600,already-tagged,global-health,32541
135607,already-tagged,global-health,32541
135604,already-tagged,global-health,32541
135606,already-tagged,global-health,32541
136285,already-tagged,global-health,32541
135624,already-tagged,global-health,32541
135650,already-tagged,global-health,32541
135670,already-tagged,global-health,32541
135677,already-tagged,global-health,32541
135678,already-tagged,global-health,32541
136291,already-tagged,global-health,32541
136220,already-tagged,global-health,32541
135718,already-tagged,global-health,32541
205822,already-tagged,global-health,32541
135587,already-tagged,global-health,32541
135046,already-tagged,global-health,32541
135613,already-tagged,global-health,32541
136204,already-tagged,global-health,32541
135759,already-tagged,global-health,32541
135681,already-tagged,global-health,32541
135757,already-tagged,global-health,32541
135474,already-tagged,global-health,32541
136347,already-tagged,global-health,32541
135758,already-tagged,global-health,32541
135433,already-tagged,global-health,32541
135680,already-tagged,global-health,32541
135210,already-tagged,global-health,32541
135631,already-tagged,global-health,32541
135779,already-tagged,global-health,32541
135738,already-tagged,global-health,32541
136240,already-tagged,global-health,32541
135753,already-tagged,global-health,32541
135967,already-tagged,global-health,32541
135862,already-tagged,global-health,32541
135937,already-tagged,global-health,32541
136290,already-tagged,global-health,32541
135926,already-tagged,global-health,32541
135919,already-tagged,global-health,32541
202034,already-tagged,global-health,32541
135928,already-tagged,global-health,32541
135903,already-tagged,global-health,32541
135950,already-tagged,global-health,32541
136444,already-tagged,global-health,32541
135949,already-tagged,global-health,32541
