identifier,reason,tag_name,tag_id
https://www.staging24.insidephilanthropy.com/grants-in-boston-fundraising/boston-foundation-boston-area-grants.html,post-not-found,grants-lgbtq,33368
https://www.staging24.insidephilanthropy.com/fundraising-los-angeles-grants/california-community-foundation-los-angeles-grants.html,post-not-found,grants-lgbtq,33368
135835,already-tagged,grants-lgbtq,33368
135221,already-tagged,grants-lgbtq,33368
135138,already-tagged,grants-lgbtq,33368
184347,already-tagged,grants-lgbtq,33368
135270,already-tagged,grants-lgbtq,33368
135996,already-tagged,grants-lgbtq,33368
135294,already-tagged,grants-lgbtq,33368
184302,already-tagged,grants-lgbtq,33368
135997,already-tagged,grants-lgbtq,33368
135283,already-tagged,grants-lgbtq,33368
135318,already-tagged,grants-lgbtq,33368
135340,already-tagged,grants-lgbtq,33368
135339,already-tagged,grants-lgbtq,33368
135337,already-tagged,grants-lgbtq,33368
135368,already-tagged,grants-lgbtq,33368
136175,already-tagged,grants-lgbtq,33368
135979,already-tagged,grants-lgbtq,33368
135355,already-tagged,grants-lgbtq,33368
135196,already-tagged,grants-lgbtq,33368
https://www.staging24.insidephilanthropy.com/grants-in-boston-fundraising/boston-foundation-boston-area-grants.html,post-not-found,grants-lgbtq,33368
136256,already-tagged,grants-lgbtq,33368
135393,already-tagged,grants-lgbtq,33368
https://www.staging24.insidephilanthropy.com/fundraising-los-angeles-grants/california-community-foundation-los-angeles-grants.html,post-not-found,grants-lgbtq,33368
136038,already-tagged,grants-lgbtq,33368
135278,already-tagged,grants-lgbtq,33368
209174,already-tagged,grants-lgbtq,33368
135354,already-tagged,grants-lgbtq,33368
136297,already-tagged,grants-lgbtq,33368
135280,already-tagged,grants-lgbtq,33368
6886,already-tagged,grants-lgbtq,33368
135895,already-tagged,grants-lgbtq,33368
135416,already-tagged,grants-lgbtq,33368
144545,already-tagged,grants-lgbtq,33368
184610,already-tagged,grants-lgbtq,33368
145109,already-tagged,grants-lgbtq,33368
143291,already-tagged,grants-lgbtq,33368
136339,already-tagged,grants-lgbtq,33368
135573,already-tagged,grants-lgbtq,33368
136415,already-tagged,grants-lgbtq,33368
184292,already-tagged,grants-lgbtq,33368
144508,already-tagged,grants-lgbtq,33368
184288,already-tagged,grants-lgbtq,33368
135471,already-tagged,grants-lgbtq,33368
135479,already-tagged,grants-lgbtq,33368
135606,already-tagged,grants-lgbtq,33368
135167,already-tagged,grants-lgbtq,33368
135020,already-tagged,grants-lgbtq,33368
135858,already-tagged,grants-lgbtq,33368
136343,already-tagged,grants-lgbtq,33368
135512,already-tagged,grants-lgbtq,33368
184286,already-tagged,grants-lgbtq,33368
135530,already-tagged,grants-lgbtq,33368
136283,already-tagged,grants-lgbtq,33368
135528,already-tagged,grants-lgbtq,33368
135535,already-tagged,grants-lgbtq,33368
136344,already-tagged,grants-lgbtq,33368
135537,already-tagged,grants-lgbtq,33368
135491,already-tagged,grants-lgbtq,33368
135558,already-tagged,grants-lgbtq,33368
136401,already-tagged,grants-lgbtq,33368
136321,already-tagged,grants-lgbtq,33368
135274,already-tagged,grants-lgbtq,33368
135490,already-tagged,grants-lgbtq,33368
135,already-tagged,grants-lgbtq,33368
135982,already-tagged,grants-lgbtq,33368
136184,already-tagged,grants-lgbtq,33368
135568,already-tagged,grants-lgbtq,33368
136439,already-tagged,grants-lgbtq,33368
135837,already-tagged,grants-lgbtq,33368
136323,already-tagged,grants-lgbtq,33368
136308,already-tagged,grants-lgbtq,33368
136026,already-tagged,grants-lgbtq,33368
135619,already-tagged,grants-lgbtq,33368
136239,already-tagged,grants-lgbtq,33368
135897,already-tagged,grants-lgbtq,33368
135644,already-tagged,grants-lgbtq,33368
134729,already-tagged,grants-lgbtq,33368
136223,already-tagged,grants-lgbtq,33368
209100,already-tagged,grants-lgbtq,33368
184282,already-tagged,grants-lgbtq,33368
135700,already-tagged,grants-lgbtq,33368
136291,already-tagged,grants-lgbtq,33368
136221,already-tagged,grants-lgbtq,33368
135724,already-tagged,grants-lgbtq,33368
135589,already-tagged,grants-lgbtq,33368
184461,already-tagged,grants-lgbtq,33368
136035,already-tagged,grants-lgbtq,33368
