post_title,post_id,tag_name,tag_id
"Abbott Fund",135242,global-health,32541
"AbbVie Foundation",135245,global-health,32541
"Addax &#038; Oryx Foundation",135217,global-health,32541
"Adtalem Global Education Foundation",135250,global-health,32541
"Paul G. Allen Family Foundation",136216,global-health,32541
"AMB Foundation",135896,global-health,32541
"amfAR: The Foundation for AIDS Research",135268,global-health,32541
"Astellas Global Health Foundation",135266,global-health,32541
"Autodesk Foundation",135406,global-health,32541
"Cameron and Jane Baird Foundation",135387,global-health,32541
"Bancker-Williams Foundation",135315,global-health,32541
"BAND Foundation",135320,global-health,32541
"Baxter International Foundation",135348,global-health,32541
"BD Foundation",135386,global-health,32541
"Beit Trust",135383,global-health,32541
"Erik and Edith Bergstrom Foundation",136276,global-health,32541
"Bohemian Foundation",135362,global-health,32541
"Booz Allen Foundation",135366,global-health,32541
"Bright Horizon Foundation",135391,global-health,32541
"Bristol-Myers Squibb Foundation",135330,global-health,32541
"Cabot Corporation Foundation",135056,global-health,32541
"Bushrod H. Campbell and Adah F. Hall Charity Fund",136296,global-health,32541
"Cardinal Health Foundation",135156,global-health,32541
"The Carter Center",135419,global-health,32541
"Ping and Amy Chao Family Foundation",135037,global-health,32541
"Child Health Foundation",135353,global-health,32541
"Civilian Research and Development Foundation",135279,global-health,32541
"Clara Lionel Foundation",136197,global-health,32541
"Conservation, Food &#038; Health Foundation",135415,global-health,32541
"Eleanor Crook Foundation",136340,global-health,32541
"Crown Family Philanthropies",135216,global-health,32541
"CS Fund/Warsh Mott Legacy",135401,global-health,32541
"Deerfield Foundation",136002,global-health,32541
"Devon Creek Foundation",135461,global-health,32541
"William H. Donner Foundation",135456,global-health,32541
"Donner Canadian Foundation",135464,global-health,32541
"Doris Duke Foundation",136135,global-health,32541
"Eaglemere Foundation",135454,global-health,32541
"Elmo Foundation",135205,global-health,32541
"Elsevier Foundation",135080,global-health,32541
"Emerging Markets Foundation (EMpower)",135062,global-health,32541
"Every Mother Counts",135595,global-health,32541
"Exxonmobil Foundation",135061,global-health,32541
"Firelight Foundation",135513,global-health,32541
"Flahive Family Foundation",135511,global-health,32541
"J.C. Flowers Foundation",135507,global-health,32541
"Focus Central America",200530,global-health,32541
"Ford Foundation",136343,global-health,32541
"Foundation for a Just Society",135512,global-health,32541
"Futura Foundations",135532,global-health,32541
"Gates Foundation",136278,global-health,32541
"GE Foundation",135488,global-health,32541
"Gere Foundation",135557,global-health,32541
"Gilead Foundation  ",136079,global-health,32541
"Gillespie Foundation",135412,global-health,32541
"Give2Asia",135169,global-health,32541
"Global Fund for Women",135274,global-health,32541
"Global Greengrants Fund ",136279,global-health,32541
"The Global Resilience Fund for Girls and Young Women  ",135490,global-health,32541
"Horace W. Goldsmith Foundation ",135192,global-health,32541
"Good Ventures",135411,global-health,32541
"Google.org",136438,global-health,32541
"Greenbaum Foundation ",135917,global-health,32541
"Helmsley Charitable Trust",136185,global-health,32541
"William and Flora Hewlett Foundation",136439,global-health,32541
"Hexberg Family Foundation",135547,global-health,32541
"The Hickey Family Foundation",136004,global-health,32541
"Conrad N. Hilton Foundation",136200,global-health,32541
"International Foundation",135584,global-health,32541
"International Medical Outreach",135574,global-health,32541
"International Planned Parenthood Federation",135585,global-health,32541
"IROH Foundation",136425,global-health,32541
"Jackman Family Foundation",135600,global-health,32541
"Jephcott Charitable Trust",135607,global-health,32541
"Jochnick Foundation",135604,global-health,32541
"Elton John AIDS Foundation",135606,global-health,32541
"Johnson &#038; Johnson Family of Companies Foundation",136285,global-health,32541
"SC Johnson Giving",135624,global-health,32541
"Kimberly-Clark Foundation",135650,global-health,32541
"Kvinna till Kvinna Foundation",135670,global-health,32541
"Lacewing Foundation",135677,global-health,32541
"Lalor Foundation ",135678,global-health,32541
"Levi Strauss Foundation",136291,global-health,32541
"Eli Lilly and Company Foundation",136220,global-health,32541
"Linbury Trust",135718,global-health,32541
"David Lynch Foundation",205822,global-health,32541
"M.A.C. Viva Glam",135587,global-health,32541
"Macauley Foundation",135046,global-health,32541
"Masimo Foundation",135613,global-health,32541
"Mastercard Foundation",136204,global-health,32541
"Neil &#038; Amelia McDaniel Charitable Trust",135759,global-health,32541
"MCJ Amelior Foundation",135681,global-health,32541
"Medtronic Foundation",135757,global-health,32541
"Merck Company Foundation",135474,global-health,32541
"Merck for Mothers",136347,global-health,32541
"T&#038;J Meyer Family Foundation",135758,global-health,32541
"Microsoft Philanthropies",135433,global-health,32541
"Michelin Corporate Foundation",135680,global-health,32541
"Milagro Foundation",135210,global-health,32541
"Morgan Stanley Foundation",135631,global-health,32541
"Mulago Foundation",135779,global-health,32541
"New Prospect Foundation",135738,global-health,32541
"New Venture Fund",136240,global-health,32541
"NextWorldNow Foundation",135753,global-health,32541
"Open Philanthropy",135967,global-health,32541
"Open Society Foundations",135862,global-health,32541
"Pace Able Foundation ",135937,global-health,32541
"David and Lucile Packard Foundation ",136290,global-health,32541
"Palmer Foundation",135926,global-health,32541
"Panaphil Foundation",135919,global-health,32541
"PayPal Giving Fund",202034,global-health,32541
"Peery Foundation",135928,global-health,32541
"Pershing Square Foundation ",135903,global-health,32541
"Pfizer Foundation ",135950,global-health,32541
"Pivotal Ventures",136444,global-health,32541
"Procter &#038; Gamble Fund",135949,global-health,32541
"Purley OverSeas Trust",135929,global-health,32541
