post_title,post_id,tag_name,tag_id
"3M Corporate Giving",183857,grants-dance,33330
"American Antiquarian Society",135230,grants-dance,33330
"American Association of University Women",135271,grants-dance,33330
"American Dance Movement",135098,grants-dance,33330
"American Express",135284,grants-dance,33330
"Ameriprise Financial",135285,grants-dance,33330
"Arnhold Foundation",136417,grants-dance,33330
"Astraea Lesbian Foundation for Justice",135999,grants-dance,33330
"Ayrshire Foundation",135201,grants-dance,33330
"Bogliasco Foundation",135376,grants-dance,33330
"Brown Foundation",135319,grants-dance,33330
"Capezio Foundation",135137,grants-dance,33330
"Gladys Krieble Delmas Foundation",135441,grants-dance,33330
"Max and Victoria Dreyfus Foundation",136198,grants-dance,33330
"Doris Duke Foundation",136135,grants-dance,33330
"Fidelity Foundation",135501,grants-dance,33330
"FirstEnergy Foundation",135508,grants-dance,33330
"Fordney Foundation",135101,grants-dance,33330
"Ford Foundation",136343,grants-dance,33330
"Foundation for Contemporary Arts",135526,grants-dance,33330
"John Simon Guggenheim Memorial Foundation",135103,grants-dance,33330
"Hearst Foundations",135539,grants-dance,33330
"Japan-United States Friendship Commission",135621,grants-dance,33330
"Jubilation Foundation",135625,grants-dance,33330
"Kresge Foundation",136258,grants-dance,33330
"MAP Fund",136442,grants-dance,33330
"Maurer Family Foundation",135691,grants-dance,33330
"Mellon Foundation",136407,grants-dance,33330
"National Endowment for the Arts",135746,grants-dance,33330
"National YoungArts Foundation",135785,grants-dance,33330
"Open Meadows Foundation",135989,grants-dance,33330
"Pew Center for Arts &#038; Heritage",136230,grants-dance,33330
"Princess Grace Foundation USA",135948,grants-dance,33330
"Prudential Foundation and Corporate Giving",135944,grants-dance,33330
"Robert Rauschenberg Foundation",136049,grants-dance,33330
"Jerome Robbins Foundation",136071,grants-dance,33330
"Salesforce Foundation",136162,grants-dance,33330
"Shubert Foundation",136247,grants-dance,33330
"Surdna Foundation",136264,grants-dance,33330
"Union Pacific Foundation",136009,grants-dance,33330
"United States Artists",136274,grants-dance,33330
"U.S. Bancorp Foundation",136008,grants-dance,33330
