post_title,post_id,tag_name,tag_id
"Abbott Fund",135242,grants-diseases,33359
"AbbVie Foundation",135245,grants-diseases,33359
"Dr. Miriam and Sheldon G. Adelson Medical Research Foundation",135239,grants-diseases,33359
"Aegon Transamerica Foundation",135238,grants-diseases,33359
"Ainslie Foundation",135310,grants-diseases,33359
"Danny Alberts Foundation",135262,grants-diseases,33359
"Albertsons Companies Foundation",135251,grants-diseases,33359
"Alliance for Cancer Gene Therapy",135240,grants-diseases,33359
"Alphawood Foundation",135221,grants-diseases,33359
"ALS Association",135225,grants-diseases,33359
"American Legion Child Well-Being Foundation",135232,grants-diseases,33359
"American Medical Association Foundation",135270,grants-diseases,33359
"Ametek Foundation",135263,grants-diseases,33359
"Fred C. and Katherine B. Andersen Foundation",135200,grants-diseases,33359
"Andersen Corporate Foundation",135228,grants-diseases,33359
"Aon Foundation",135220,grants-diseases,33359
"AT&#038;T Foundation",135199,grants-diseases,33359
"Sidley Austin Foundation",136145,grants-diseases,33359
"Avon Progress for Women",135233,grants-diseases,33359
"Cameron and Jane Baird Foundation",135387,grants-diseases,33359
"B.W. Bastian Foundation",135337,grants-diseases,33359
"Baxter International Foundation",135348,grants-diseases,33359
"Bayer Fund",135343,grants-diseases,33359
"BD Foundation",135386,grants-diseases,33359
"BNSF Railway Foundation",135359,grants-diseases,33359
"Boston Scientific Foundation",135388,grants-diseases,33359
"William K. Bowes, Jr. Foundation",135378,grants-diseases,33359
"Bright Focus Foundation",135395,grants-diseases,33359
"Bristol-Myers Squibb Foundation",135330,grants-diseases,33359
"Broad Foundation",135975,grants-diseases,33359
"Dana and Albert Broccoli Charitable Foundation",135316,grants-diseases,33359
"Brookdale Foundation Group",136396,grants-diseases,33359
"Burroughs Wellcome Fund",136176,grants-diseases,33359
"Calamus Foundation",135393,grants-diseases,33359
"Capital Group Companies Charitable Foundation",135398,grants-diseases,33359
"The Carter Center",135419,grants-diseases,33359
"Celanese Foundation",135352,grants-diseases,33359
"Donald and Carole Chaiken Foundation",135278,grants-diseases,33359
"Chatlos Foundation",135258,grants-diseases,33359
"CHDI Foundation",135418,grants-diseases,33359
"Steven &amp; Alexandra Cohen Foundation",136235,grants-diseases,33359
"Concern Foundation",136379,grants-diseases,33359
