post_title,post_id,tag_name,tag_id
"A Blade of Grass",135141,grants-film,33332
"Academy of Motion Picture Arts and Sciences",135261,grants-film,33332
"Adobe Foundation",135236,grants-film,33332
"American Antiquarian Society",135230,grants-film,33332
"American Association of University Women",135271,grants-film,33332
"Anderson Center",135140,grants-film,33332
"Paul M. Angell Family Foundation",135223,grants-film,33332
"Anonymous Was a Woman",135289,grants-film,33332
"Astraea Lesbian Foundation for Justice",135999,grants-film,33332
"Black Public Media",135495,grants-film,33332
"Blavatnik Family Foundation",135177,grants-film,33332
"Bogliasco Foundation",135376,grants-film,33332
"Brown Foundation",135319,grants-film,33332
"California Community Foundation",145222,grants-film,33332
"The California Endowment",145035,grants-film,33332
"California Humanities",135096,grants-film,33332
"Amon G. Carter Foundation",135136,grants-film,33332
"Catapult Film Fund",136318,grants-film,33332
"Ceres Trust",135300,grants-film,33332
"Chicago Community Trust",145100,grants-film,33332
"Cinereach",136317,grants-film,33332
"Creative Capital",136075,grants-film,33332
"Dance Films Association Inc.",135428,grants-film,33332
"Dobkin Family Foundation",135460,grants-film,33332
"DocSociety",136362,grants-film,33332
"Dorsey &#038; Whitney Foundation",135459,grants-film,33332
"Max and Victoria Dreyfus Foundation",136198,grants-film,33332
"Filmmaker Fund",136320,grants-film,33332
"Film Independent",136365,grants-film,33332
"Firelight Media",136363,grants-film,33332
"Ford Foundation",136343,grants-film,33332
"Foundation for Middle East Peace",135531,grants-film,33332
"From the Heart Productions",136364,grants-film,33332
"Gates Foundation",136278,grants-film,33332
"Good Pitch",135616,grants-film,33332
"Greenbaum Foundation ",135917,grants-film,33332
"Gruber Family Foundation ",135041,grants-film,33332
"John Simon Guggenheim Memorial Foundation",135103,grants-film,33332
"William and Flora Hewlett Foundation",136439,grants-film,33332
"Impact Partners",136367,grants-film,33332
"Independent Television Service",135598,grants-film,33332
"International Documentary Association",135583,grants-film,33332
"Violet Jabara Charitable Trust",135601,grants-film,33332
"Japan-United States Friendship Commission",135621,grants-film,33332
"Jerome Foundation",136218,grants-film,33332
"Jewish Communal Fund",135617,grants-film,33332
"W.K. Kellogg Foundation",135639,grants-film,33332
"Kresge Foundation",136258,grants-film,33332
"Lear Family Foundation ",135728,grants-film,33332
"Lilly Endowment",136219,grants-film,33332
"Jonathan Logan Family Foundation ",135731,grants-film,33332
"Reva and David Logan Foundation ",135723,grants-film,33332
"MacArthur Foundation",136205,grants-film,33332
"National Endowment for the Arts",135746,grants-film,33332
"National Endowment for the Humanities",135747,grants-film,33332
"National Film Preservation Foundation",136327,grants-film,33332
"National League of American Pen Women",135767,grants-film,33332
"New York Community Trust",135733,grants-film,33332
"Oak Foundation",136371,grants-film,33332
"Open Meadows Foundation",135989,grants-film,33332
"Open Society Foundations",135862,grants-film,33332
"Panavision",136350,grants-film,33332
"Park Foundation ",135940,grants-film,33332
"Patagonia",135927,grants-film,33332
"Pew Center for Arts &#038; Heritage",136230,grants-film,33332
"Princess Grace Foundation USA",135948,grants-film,33332
"Puffin Foundation ",135906,grants-film,33332
"Manuel Rivera-Ortiz Foundation",136074,grants-film,33332
"Robert Rauschenberg Foundation",136049,grants-film,33332
"Rosenthal Family Foundation",136056,grants-film,33332
"ScreenCraft Film Production Fund",136351,grants-film,33332
"Seattle Foundation",8226,grants-film,33332
"Alfred P. Sloan Foundation",136233,grants-film,33332
"Sundance Institute",136352,grants-film,33332
"Surdna Foundation",136264,grants-film,33332
"John Templeton Foundation ",136272,grants-film,33332
"Tides Foundation",136267,grants-film,33332
"Threshold Foundation ",135852,grants-film,33332
"Time Warner Foundation ",135816,grants-film,33332
"Tribeca Film Institute",136268,grants-film,33332
"United States Artists",136274,grants-film,33332
"Arthur Vining Davis Foundations",135427,grants-film,33332
"Weissberg Foundation",135807,grants-film,33332
"Women in Film",135826,grants-film,33332
"Hearthland Foundation (a.k.a. Wunderkinder Foundation)",136441,grants-film,33332
"Helene Wurlitzer Foundation",135806,grants-film,33332
