post_title,post_id,tag_name,tag_id
"AARP Foundation",135291,grants-health,33354
"Adobe Foundation",135236,grants-health,33354
"Aegon Transamerica Foundation",135238,grants-health,33354
"Agua Fund",135455,grants-health,33354
"Ainslie Foundation",135310,grants-health,33354
"Albertsons Companies Foundation",135251,grants-health,33354
"Allen Foundation",136022,grants-health,33354
"American Hearing Research Foundation",135188,grants-health,33354
"American Legion Child Well-Being Foundation",135232,grants-health,33354
"American Medical Association Foundation",135270,grants-health,33354
"American Online Giving Foundation",203781,grants-health,33354
"Ametek Foundation",135263,grants-health,33354
"Fred C. and Katherine B. Andersen Foundation",135200,grants-health,33354
"Andersen Corporate Foundation",135228,grants-health,33354
"Anderson-Rogers Foundation",135218,grants-health,33354
"The Annenberg Foundation",135996,grants-health,33354
"Aon Foundation",135220,grants-health,33354
"Argosy Foundation",135222,grants-health,33354
"Arnold Ventures",136436,grants-health,33354
"Atlas Family Foundation",135249,grants-health,33354
"AT&#038;T Foundation",135199,grants-health,33354
"Ayrshire Foundation",135201,grants-health,33354
"Bank of America Charitable Foundation",135340,grants-health,33354
"B.W. Bastian Foundation",135337,grants-health,33354
"Bayer Fund",135343,grants-health,33354
"Beaumont Foundation of America",135342,grants-health,33354
"Benificus Foundation",136155,grants-health,33354
"Biogen Foundation",135361,grants-health,33354
"Arthur M. Blank Family Foundation",136315,grants-health,33354
"Jacob and Hilda Blaustein Foundation",135379,grants-health,33354
"Bloomberg Philanthropies",135976,grants-health,33354
"BNSF Railway Foundation",135359,grants-health,33354
"Boston Scientific Foundation",135388,grants-health,33354
"Otto Bremer Trust",136435,grants-health,33354
"Bright Focus Foundation",135395,grants-health,33354
"Brown Foundation",135319,grants-health,33354
"Peter and Carmen Lucia Buck Foundation",135326,grants-health,33354
"Howard G. Buffett Foundation",136196,grants-health,33354
"Virginia Wellington Cabot Foundation",135399,grants-health,33354
"Cambia Health Foundation",135159,grants-health,33354
"Camphill Foundation",135215,grants-health,33354
"Cardinal Health Foundation",135156,grants-health,33354
"Cargill Inc.",135424,grants-health,33354
"E. Rhodes &#038; Leona B. Carpenter Foundation",135417,grants-health,33354
"Annie E. Casey Foundation",136038,grants-health,33354
"Marguerite Casey Foundation",136035,grants-health,33354
"Caterpillar Foundation",135423,grants-health,33354
"Cathay Bank Foundation",135076,grants-health,33354
"Chanel Foundation",135256,grants-health,33354
"Channel Foundation",135354,grants-health,33354
"Cisco Foundation",135157,grants-health,33354
"Civilian Research and Development Foundation",135279,grants-health,33354
"Coca-Cola Foundation",135403,grants-health,33354
"Naomi and Nehemiah Cohen Foundation",135276,grants-health,33354
"Collingwood Foundation",135280,grants-health,33354
"Colorado Health Foundation",145013,grants-health,33354
"The Commonwealth Fund",136019,grants-health,33354
"Cruise Industry Charitable Foundation",135332,grants-health,33354
"CVS Health Foundation",135198,grants-health,33354
"Dammann Fund",135430,grants-health,33354
"Shelby Cullom Davis Charitable Fund",135443,grants-health,33354
"Sarah K. DeCoizart Perpetual Charitable Trust",135436,grants-health,33354
"Michael and Susan Dell Foundation",136181,grants-health,33354
"The Walt Disney Company",135457,grants-health,33354
"Dominion Energy Charitable Foundation",135466,grants-health,33354
"Cornell Douglas Foundation",135468,grants-health,33354
"Max and Victoria Dreyfus Foundation",136198,grants-health,33354
"Doris Duke Foundation",136135,grants-health,33354
"Duke Endowment",135482,grants-health,33354
"Elevance Health Foundation",136183,grants-health,33354
"U.S. Energy Foundation",135145,grants-health,33354
"Fidelity Foundation",135501,grants-health,33354
"Leland Fikes Foundation",135503,grants-health,33354
"Charles A. Frueauff Foundation",135527,grants-health,33354
"Gannett Foundation ",135104,grants-health,33354
"GE Foundation",135488,grants-health,33354
"Genentech Foundation and Corporate Giving",135085,grants-health,33354
"General Mills Foundation ",136078,grants-health,33354
"General Service Foundation",135491,grants-health,33354
"Gilead Foundation  ",136079,grants-health,33354
"Lisa and Douglas Goldman Fund",135408,grants-health,33354
"Lauren Catuzzi Grandcolas Foundation ",135577,grants-health,33354
"Groundswell Fund ",135982,grants-health,33354
"Grove Foundation ",136437,grants-health,33354
"Hanley Family Foundation",135553,grants-health,33354
"Irving Harris Foundation",136280,grants-health,33354
"John A. Hartford Foundation",136303,grants-health,33354
"Hasbro Children’s Fund",135545,grants-health,33354
"Hearst Foundations",135539,grants-health,33354
"Helmsley Charitable Trust",136185,grants-health,33354
"Hexberg Family Foundation",135547,grants-health,33354
"Highmark Foundation",135552,grants-health,33354
"Jewish Communal Fund",135617,grants-health,33354
"W.K. Kellogg Foundation",135639,grants-health,33354
"Kresge Foundation",136258,grants-health,33354
"Kroger Foundation",135669,grants-health,33354
"Charles Lafitte Foundation ",135675,grants-health,33354
"Lalor Foundation ",135678,grants-health,33354
"Eugene M. Lang Foundation ",135699,grants-health,33354
"Jacob and Valeria Langeloth Foundation ",135706,grants-health,33354
"Lawrence Foundation",135727,grants-health,33354
"Lear Family Foundation ",135728,grants-health,33354
"Lefkofsky Family Foundation",135698,grants-health,33354
"Philip and Janice Levin Foundation",135717,grants-health,33354
"Margaret and Daniel Loeb Foundation",135724,grants-health,33354
"Maine Health Access Foundation",145021,grants-health,33354
"MAXIMUS Foundation",135672,grants-health,33354
"William G. McGowan Charitable Fund",135683,grants-health,33354
"Medica Foundation",135801,grants-health,33354
"Medtronic Foundation",135757,grants-health,33354
"Melville Charitable Trust",136226,grants-health,33354
"Gordon and Betty Moore Foundation",136186,grants-health,33354
"Morgan Stanley Foundation",135631,grants-health,33354
"Ms. Foundation for Women",135815,grants-health,33354
"National Multiple Sclerosis Society",135786,grants-health,33354
"New Profit",135784,grants-health,33354
"Henry E. Niles Foundation",135770,grants-health,33354
"Jessie Smith Noyes Foundation",135773,grants-health,33354
"Jane and Daniel Och Family Foundation",135882,grants-health,33354
"Omron Foundation",135841,grants-health,33354
"one8 Foundation",135774,grants-health,33354
"David and Lucile Packard Foundation ",136290,grants-health,33354
"Panda Cares ",135939,grants-health,33354
"Peter G. Peterson Foundation ",135905,grants-health,33354
"Poses Family Foundation ",135899,grants-health,33354
"PPG Industries Foundation ",135941,grants-health,33354
"John Pritzker Family Fund",135968,grants-health,33354
"Pritzker Traubert Family Foundation",135969,grants-health,33354
"Procter &#038; Gamble Fund",135949,grants-health,33354
"Resnick Foundation",136081,grants-health,33354
"Saucony Run For Good Foundation",136313,grants-health,33354
"Samueli Foundation",136101,grants-health,33354
"Scherman Foundation",136116,grants-health,33354
"Shapiro-Silverberg Foundation",135930,grants-health,33354
"Marty and Dorothy Silverman Foundation",136143,grants-health,33354
"May and Stanley Smith Charitable Trust",136157,grants-health,33354
"Sontag Foundation",136165,grants-health,33354
"Starr Foundation",136105,grants-health,33354
"Steele-Reese Foundation",136106,grants-health,33354
"Judy and Michael Steinhardt Foundation",136115,grants-health,33354
"Substance Abuse and Mental Health Services Administration",136149,grants-health,33354
"Taube Philanthropies",135868,grants-health,33354
"TAWANI Foundation ",135851,grants-health,33354
"TD Charitable Foundation",135867,grants-health,33354
"Tides Foundation",136267,grants-health,33354
"Tow Foundation ",135654,grants-health,33354
"Peter and Elizabeth C. Tower Foundation ",135892,grants-health,33354
"Triad Foundation",135869,grants-health,33354
"United Health Foundation",136013,grants-health,33354
"Van Sloun Foundation",136089,grants-health,33354
"Verizon Foundation",135027,grants-health,33354
"Walmart Foundation",136173,grants-health,33354
"WestWind Foundation",135813,grants-health,33354
"Wilf Family Foundations",135822,grants-health,33354
"WITH Foundation",135974,grants-health,33354
"Robert Wood Johnson Foundation",136284,grants-health,33354
"National Council of YMCAs of the USA",202288,grants-health,33354
"The Chan Zuckerberg Initiative",136354,grants-health,33354
