post_title,post_id,tag_name,tag_id
"11th Hour Project",188286,grants-human-rights,33357
"Agua Fund",135455,grants-human-rights,33357
"Alchemy Foundation",135039,grants-human-rights,33357
"Isabel Allende Foundation",135248,grants-human-rights,33357
"Amalgamated Foundation",135138,grants-human-rights,33357
"Angelica Foundation",135252,grants-human-rights,33357
"Paul M. Angell Family Foundation",135223,grants-human-rights,33357
"Arca Foundation",135981,grants-human-rights,33357
"Arcus Foundation",135997,grants-human-rights,33357
"Arnold Ventures",136436,grants-human-rights,33357
"Arsenault Family Foundation",135292,grants-human-rights,33357
"Astraea Lesbian Foundation for Justice",135999,grants-human-rights,33357
"Aurora Humanitarian Initiative",135313,grants-human-rights,33357
"Susan A. and Donald P. Babson Charitable Foundation",135318,grants-human-rights,33357
"Ballmer Group",135978,grants-human-rights,33357
"Bank of America Charitable Foundation",135340,grants-human-rights,33357
"Baring Foundation",135339,grants-human-rights,33357
"Barr Foundation",135338,grants-human-rights,33357
"Belfer Family Foundation",135360,grants-human-rights,33357
"Benjamin Fund",135363,grants-human-rights,33357
"Morton K. and Jane Blaustein Foundation",135384,grants-human-rights,33357
"Borealis Philanthropy",135979,grants-human-rights,33357
"Sergey Brin Family Foundation",136255,grants-human-rights,33357
"Dr. Bronner’s Family Foundation and Corporate Giving",135176,grants-human-rights,33357
"Howard G. Buffett Foundation",136196,grants-human-rights,33357
"Bush Foundation",145250,grants-human-rights,33357
"Calamus Foundation",135393,grants-human-rights,33357
"California Community Foundation",145222,grants-human-rights,33357
"The California Endowment",145035,grants-human-rights,33357
"Careth Foundation",135402,grants-human-rights,33357
"Margaret A. Cargill Philanthropies",136017,grants-human-rights,33357
"Carnegie Corporation of New York",136018,grants-human-rights,33357
"The Carter Center",135419,grants-human-rights,33357
"Marguerite Casey Foundation",136035,grants-human-rights,33357
"Annie E. Casey Foundation",136038,grants-human-rights,33357
"Channel Foundation",135354,grants-human-rights,33357
"Children&#8217;s Investment Fund Foundation",135055,grants-human-rights,33357
"Chino Cienega Foundation",135350,grants-human-rights,33357
"Collingwood Foundation",135280,grants-human-rights,33357
"Evan Cornish Foundation",135184,grants-human-rights,33357
"Wallace H. Coulter Foundation",135197,grants-human-rights,33357
"craigslist Charitable Fund",135435,grants-human-rights,33357
"Crankstart Foundation",136236,grants-human-rights,33357
"Democracy Fund",136000,grants-human-rights,33357
"Devon Creek Foundation",135461,grants-human-rights,33357
"Nathan Cummings Foundation",136178,grants-human-rights,33357
"Diamondston Foundation",135040,grants-human-rights,33357
"Digital Defenders Partnership",135471,grants-human-rights,33357
"Disability Rights Fund",135470,grants-human-rights,33357
"William H. Donner Foundation",135456,grants-human-rights,33357
"Donner Canadian Foundation",135464,grants-human-rights,33357
"Dropbox Foundation",135479,grants-human-rights,33357
"Embrey Family Foundation",135273,grants-human-rights,33357
"Eucalyptus Foundation",136024,grants-human-rights,33357
"Moses Feldman Family Foundation",135518,grants-human-rights,33357
"Firedoll Foundation",135506,grants-human-rights,33357
"Eileen Fisher Foundation",135486,grants-human-rights,33357
"Ford Foundation",136343,grants-human-rights,33357
"Foundation for Middle East Peace",135531,grants-human-rights,33357
"Freedom House",135530,grants-human-rights,33357
"Freedom Together Foundation",136283,grants-human-rights,33357
"Friedman Family Foundation",135520,grants-human-rights,33357
"Fund for Global Human Rights",135535,grants-human-rights,33357
"Fund for Nonviolence",135529,grants-human-rights,33357
"David Geffen Foundation",135537,grants-human-rights,33357
"General Service Foundation",135491,grants-human-rights,33357
"George Family Foundation ",135615,grants-human-rights,33357
"Gere Foundation",135557,grants-human-rights,33357
"Girls Rights Project ",135208,grants-human-rights,33357
