post_title,post_id,tag_name,tag_id
"Advancement Project",135142,grants-immigrants-refugees,33339
"Aegon Transamerica Foundation",135238,grants-immigrants-refugees,33339
"AirBnB Community Fund",135286,grants-immigrants-refugees,33339
"Alchemy Foundation",135039,grants-immigrants-refugees,33339
"Angelica Foundation",135252,grants-immigrants-refugees,33339
"Paul M. Angell Family Foundation",135223,grants-immigrants-refugees,33339
"Astraea Lesbian Foundation for Justice",135999,grants-immigrants-refugees,33339
"Jacob and Hilda Blaustein Foundation",135379,grants-immigrants-refugees,33339
"Morton K. and Jane Blaustein Foundation",135384,grants-immigrants-refugees,33339
"Blavatnik Family Foundation",135177,grants-immigrants-refugees,33339
"Bromley Trust",135329,grants-immigrants-refugees,33339
"Brooklyn Org",145075,grants-immigrants-refugees,33339
"Dr. Bronner’s Family Foundation and Corporate Giving",135176,grants-immigrants-refugees,33339
"California Community Foundation",145222,grants-immigrants-refugees,33339
"The Carter Center",135419,grants-immigrants-refugees,33339
"Catholic Charities Foundation of Venice, Florida",144078,grants-immigrants-refugees,33339
"Center for Arab American Philanthropy",135306,grants-immigrants-refugees,33339
"Center for Disaster Philanthropy",134590,grants-immigrants-refugees,33339
"Chanel Foundation",135256,grants-immigrants-refugees,33339
"Chavez Family Foundation",145115,grants-immigrants-refugees,33339
"Chicago Community Trust",145100,grants-immigrants-refugees,33339
"Clowes Fund",184929,grants-immigrants-refugees,33339
"Comic Relief (U.K.)",135426,grants-immigrants-refugees,33339
"Evan Cornish Foundation",135184,grants-immigrants-refugees,33339
"DanPaul Foundation",135480,grants-immigrants-refugees,33339
"Dream Blue Foundation",135469,grants-immigrants-refugees,33339
"eBay Foundation",135203,grants-immigrants-refugees,33339
"ELMA Relief Foundation",135453,grants-immigrants-refugees,33339
"Emerson Collective",136023,grants-immigrants-refugees,33339
"Every Mother Counts",135595,grants-immigrants-refugees,33339
"Samuel S. Fels Fund",135519,grants-immigrants-refugees,33339
"Firedoll Foundation",135506,grants-immigrants-refugees,33339
"Fluor Foundation",135505,grants-immigrants-refugees,33339
"Ford Foundation",136343,grants-immigrants-refugees,33339
"Foundation for a Just Society",135512,grants-immigrants-refugees,33339
"Foundation for Middle East Peace",135531,grants-immigrants-refugees,33339
"Frankel Family Foundation",135524,grants-immigrants-refugees,33339
"Fund for Global Human Rights",135535,grants-immigrants-refugees,33339
"Gates Foundation",136278,grants-immigrants-refugees,33339
"Wallace Alexander Gerbode Foundation",135558,grants-immigrants-refugees,33339
"Gere Foundation",135557,grants-immigrants-refugees,33339
"GHR Foundation",135116,grants-immigrants-refugees,33339
"Global Fund for Children",135492,grants-immigrants-refugees,33339
"The Global Resilience Fund for Girls and Young Women  ",135490,grants-immigrants-refugees,33339
"Google.org",136438,grants-immigrants-refugees,33339
"Grove Foundation ",136437,grants-immigrants-refugees,33339
"Evelyn and Walter Haas, Jr. Fund",136184,grants-immigrants-refugees,33339
"Heising-Simons Foundation",136440,grants-immigrants-refugees,33339
"Horizons Foundation",136199,grants-immigrants-refugees,33339
"IKEA Foundation",135984,grants-immigrants-refugees,33339
"James Irvine Foundation",136281,grants-immigrants-refugees,33339
"Jewish Communal Fund",135617,grants-immigrants-refugees,33339
"Freedom Together Foundation",136283,grants-immigrants-refugees,33339
"J.M. Kaplan Fund",135647,grants-immigrants-refugees,33339
"Kataly Foundation",135897,grants-immigrants-refugees,33339
"Max and Anna Levinson Foundation",135704,grants-immigrants-refugees,33339
"Liberty Hill Foundation ",136222,grants-immigrants-refugees,33339
"Lilly Endowment",136219,grants-immigrants-refugees,33339
"M.A.C. Viva Glam",135587,grants-immigrants-refugees,33339
"MAP Fund",136442,grants-immigrants-refugees,33339
"Mary’s Pence",135612,grants-immigrants-refugees,33339
"Barbara McDowell and Gerald S. Hartman Foundation",135690,grants-immigrants-refugees,33339
"Meyer Memorial Trust",6899,grants-immigrants-refugees,33339
"Robert R. McCormick Foundation",145101,grants-immigrants-refugees,33339
"Microsoft Philanthropies",135433,grants-immigrants-refugees,33339
"Milagro Foundation",135210,grants-immigrants-refugees,33339
"Mother Cabrini Health Foundation",136225,grants-immigrants-refugees,33339
"M. J. Murdock Charitable Trust",135985,grants-immigrants-refugees,33339
"National Association of Latino Arts and Cultures",136080,grants-immigrants-refugees,33339
"NEO Philanthropy",136209,grants-immigrants-refugees,33339
"New York Community Trust",135733,grants-immigrants-refugees,33339
"NoVo Foundation",135763,grants-immigrants-refugees,33339
"Omidyar Network",135990,grants-immigrants-refugees,33339
"Open Philanthropy",135967,grants-immigrants-refugees,33339
"Open Society Foundations",135862,grants-immigrants-refugees,33339
"Osprey Foundation",135848,grants-immigrants-refugees,33339
"PayPal Giving Fund",202034,grants-immigrants-refugees,33339
"Pink House Foundation ",135970,grants-immigrants-refugees,33339
"Pitney Bowes",135901,grants-immigrants-refugees,33339
"Pride Foundation",136241,grants-immigrants-refugees,33339
"Prospect Hill Foundation ",135909,grants-immigrants-refugees,33339
"Rainbow World Fund",136047,grants-immigrants-refugees,33339
"San Francisco Foundation",136263,grants-immigrants-refugees,33339
