post_title,post_id,tag_name,tag_id
"A Blade of Grass",135141,grants-journalism-media,33340
"The Abrams Foundation",143954,grants-journalism-media,33340
"Alexia Foundation",136400,grants-journalism-media,33340
"Amalgamated Foundation",135138,grants-journalism-media,33340
"Angelica Foundation",135252,grants-journalism-media,33340
"Arnold Ventures",136436,grants-journalism-media,33340
"Arthur Vining Davis Foundations",135427,grants-journalism-media,33340
"Association of Health Care Journalists",135058,grants-journalism-media,33340
"The Ben Bagdikian Fellowship Program",135195,grants-journalism-media,33340
"Best Buy Foundation",135364,grants-journalism-media,33340
"Black Public Media",135495,grants-journalism-media,33340
"Lynde and Harry Bradley Foundation",135381,grants-journalism-media,33340
"Peter and Carmen Lucia Buck Foundation",135326,grants-journalism-media,33340
"The Carter Center",135419,grants-journalism-media,33340
"Annie E. Casey Foundation",136038,grants-journalism-media,33340
"Channel Foundation",135354,grants-journalism-media,33340
"Chicago Community Trust",145100,grants-journalism-media,33340
"The Commonwealth Fund",136019,grants-journalism-media,33340
"Council on Foreign Relations",135425,grants-journalism-media,33340
"Nathan Cummings Foundation",136178,grants-journalism-media,33340
"Curve Foundation",184292,grants-journalism-media,33340
"Dart Center for Journalism &#038; Trauma",135079,grants-journalism-media,33340
"Digital Defenders Partnership",135471,grants-journalism-media,33340
"Max and Victoria Dreyfus Foundation",136198,grants-journalism-media,33340
"Editorial Projects in Education",135206,grants-journalism-media,33340
"Emerson Collective",136023,grants-journalism-media,33340
"European Journalism Centre",135166,grants-journalism-media,33340
"F Three Foundation",135523,grants-journalism-media,33340
"FirstEnergy Foundation",135508,grants-journalism-media,33340
"Flora Family Foundation",135504,grants-journalism-media,33340
"Ford Foundation",136343,grants-journalism-media,33340
"Foundation for Middle East Peace",135531,grants-journalism-media,33340
"Freelance Investigative Reporters and Editors",135066,grants-journalism-media,33340
"Free Press Unlimited",135065,grants-journalism-media,33340
"Fund for Investigative Journalism",135064,grants-journalism-media,33340
"Gannett Foundation ",135104,grants-journalism-media,33340
"Gates Foundation",136278,grants-journalism-media,33340
"Wallace Alexander Gerbode Foundation",135558,grants-journalism-media,33340
"Horace W. Goldsmith Foundation ",135192,grants-journalism-media,33340
"Grantham Foundation for the Protection of the Environment",135207,grants-journalism-media,33340
"Greater Washington Community Foundation",144691,grants-journalism-media,33340
"Gruber Family Foundation ",135041,grants-journalism-media,33340
"Harry Frank Guggenheim Foundation",135536,grants-journalism-media,33340
"The Heinz Endowments",135534,grants-journalism-media,33340
"Heising-Simons Foundation",136440,grants-journalism-media,33340
"William and Flora Hewlett Foundation",136439,grants-journalism-media,33340
"Humanity United",135561,grants-journalism-media,33340
"Inasmuch Foundation",135599,grants-journalism-media,33340
"Independent Television Service",135598,grants-journalism-media,33340
"Institute for Journalism and Natural Resources",135582,grants-journalism-media,33340
"International Center for Journalists",135209,grants-journalism-media,33340
"International Documentary Association",135583,grants-journalism-media,33340
"International Women&#8217;s Media Foundation",135580,grants-journalism-media,33340
"Jewish Communal Fund",135617,grants-journalism-media,33340
"Joyce Foundation",136217,grants-journalism-media,33340
"Freedom Together Foundation",136283,grants-journalism-media,33340
"Kahle-Austin Foundation",135655,grants-journalism-media,33340
"Kaiser Family Foundation",135629,grants-journalism-media,33340
"Kaphan Foundation",8254,grants-journalism-media,33340
"Kavli Foundation",136286,grants-journalism-media,33340
"W.K. Kellogg Foundation",135639,grants-journalism-media,33340
"John S. and James L. Knight Foundation",136260,grants-journalism-media,33340
"Jacob and Valeria Langeloth Foundation ",135706,grants-journalism-media,33340
"Lannan Foundation",136224,grants-journalism-media,33340
"Libra Foundation",136221,grants-journalism-media,33340
"Jonathan Logan Family Foundation ",135731,grants-journalism-media,33340
"Reva and David Logan Foundation ",135723,grants-journalism-media,33340
"Lumina Foundation",135730,grants-journalism-media,33340
"MacArthur Foundation",136205,grants-journalism-media,33340
"Robert R. McCormick Foundation",145101,grants-journalism-media,33340
"Media Democracy Fund",135633,grants-journalism-media,33340
"Media Development Investment Fund",135173,grants-journalism-media,33340
"Meyer Memorial Trust",6899,grants-journalism-media,33340
"The Miami Foundation",145099,grants-journalism-media,33340
"Mize Family Foundation",135712,grants-journalism-media,33340
"Mozilla Foundation",135194,grants-journalism-media,33340
"National Institute for Health Care Management",135754,grants-journalism-media,33340
"Craig Newmark Philanthropies",135986,grants-journalism-media,33340
"Omidyar Network",135990,grants-journalism-media,33340
"Open Society Foundations",135862,grants-journalism-media,33340
"Park Foundation ",135940,grants-journalism-media,33340
"Patagonia",135927,grants-journalism-media,33340
"Alicia Patterson Foundation ",135953,grants-journalism-media,33340
"Rory Peck Trust",135069,grants-journalism-media,33340
"PEN America ",135947,grants-journalism-media,33340
"Polk Brothers Foundation",143376,grants-journalism-media,33340
"Public Welfare Foundation",136262,grants-journalism-media,33340
"Puffin Foundation ",135906,grants-journalism-media,33340
"Pulitzer Center on Crisis Reporting",135936,grants-journalism-media,33340
"Dorothea and Leo Rabkin Foundation",136050,grants-journalism-media,33340
"Radio Television Digital News Foundation",136030,grants-journalism-media,33340
"Revson Foundation",145103,grants-journalism-media,33340
"Donald W. Reynolds Journalism Institute",136051,grants-journalism-media,33340
"Roth Family Foundation",136069,grants-journalism-media,33340
"San Francisco Foundation",136263,grants-journalism-media,33340
"Scripps Howard Foundation",135070,grants-journalism-media,33340
"Seattle Foundation",8226,grants-journalism-media,33340
"Silicon Valley Community Foundation",136231,grants-journalism-media,33340
"Marty and Dorothy Silverman Foundation",136143,grants-journalism-media,33340
"Skyline Foundation",183780,grants-journalism-media,33340
"Stephen M. Silberstein Foundation",136265,grants-journalism-media,33340
"Alfred P. Sloan Foundation",136233,grants-journalism-media,33340
"W. Eugene Smith Fund",136154,grants-journalism-media,33340
"Spencer Foundation",189900,grants-journalism-media,33340
"John S. Knight Journalism Fellowships at Stanford University",136259,grants-journalism-media,33340
"Sundance Institute",136352,grants-journalism-media,33340
"TEGNA Foundation",136088,grants-journalism-media,33340
"Tides Foundation",136267,grants-journalism-media,33340
"Tow Foundation ",135654,grants-journalism-media,33340
"Trellis Charitable Fund",135932,grants-journalism-media,33340
"Tulsa Community Foundation",145131,grants-journalism-media,33340
"United States Artists",136274,grants-journalism-media,33340
"Vere Initiatives",136353,grants-journalism-media,33340
"Wallace Global Fund",136193,grants-journalism-media,33340
"Walton Family Foundation",136234,grants-journalism-media,33340
"Wellspring Philanthropic Fund",136113,grants-journalism-media,33340
"Women Photograph",135832,grants-journalism-media,33340
"Woodcock Foundation",136171,grants-journalism-media,33340
"Wyncote Foundation",136447,grants-journalism-media,33340
"Carnegie Corporation of New York",136018,grants-journalism-media,33340
"Wikimedia Foundation",135821,grants-journalism-media,33340
