post_title,post_id,tag_name,tag_id
"Alliance for Full Acceptance",135835,grants-lgbtq,33368
"Alphawood Foundation",135221,grants-lgbtq,33368
"Amalgamated Foundation",135138,grants-lgbtq,33368
"American Jewish World Service",184347,grants-lgbtq,33368
"American Medical Association Foundation",135270,grants-lgbtq,33368
"The Annenberg Foundation",135996,grants-lgbtq,33368
"Aqua Foundation for Women",135294,grants-lgbtq,33368
"Arch Community Fund",184302,grants-lgbtq,33368
"Arcus Foundation",135997,grants-lgbtq,33368
"Associated Jewish Charities of Baltimore",135283,grants-lgbtq,33368
"Susan A. and Donald P. Babson Charitable Foundation",135318,grants-lgbtq,33368
"Bank of America Charitable Foundation",135340,grants-lgbtq,33368
"Baring Foundation",135339,grants-lgbtq,33368
"B.W. Bastian Foundation",135337,grants-lgbtq,33368
"Blachford-Cooper Foundation",135368,grants-lgbtq,33368
"David Bohnett Foundation",136175,grants-lgbtq,33368
"Borealis Philanthropy",135979,grants-lgbtq,33368
"Louis L. Borick Foundation",135355,grants-lgbtq,33368
"Born This Way Foundation",135196,grants-lgbtq,33368
"Susan Thompson Buffett Foundation",136256,grants-lgbtq,33368
"Calamus Foundation",135393,grants-lgbtq,33368
"Annie E. Casey Foundation",136038,grants-lgbtq,33368
"Donald and Carole Chaiken Foundation",135278,grants-lgbtq,33368
"Collaborative for Gender and Reproductive Equity",209174,grants-lgbtq,33368
"Channel Foundation",135354,grants-lgbtq,33368
"COIL Foundation",136297,grants-lgbtq,33368
"Collingwood Foundation",135280,grants-lgbtq,33368
"Collins Foundation",6886,grants-lgbtq,33368
"Jim Collins Foundation",135895,grants-lgbtq,33368
"Common Stream",135416,grants-lgbtq,33368
"Communities Foundation of Texas",144545,grants-lgbtq,33368
"Community Foundation for Southeast Michigan",184610,grants-lgbtq,33368
"Community Foundation of Greater Memphis",145109,grants-lgbtq,33368
"Community Foundation of Middle Tennessee",143291,grants-lgbtq,33368
"Contigo Fund",136339,grants-lgbtq,33368
"Crawford Idema Family Foundation",135573,grants-lgbtq,33368
"Crossroads Fund",136415,grants-lgbtq,33368
"Curve Foundation",184292,grants-lgbtq,33368
"Dallas Foundation",144508,grants-lgbtq,33368
"Delaware Valley Legacy Fund",184288,grants-lgbtq,33368
"Digital Defenders Partnership",135471,grants-lgbtq,33368
"Dropbox Foundation",135479,grants-lgbtq,33368
"Elton John AIDS Foundation",135606,grants-lgbtq,33368
"Enterprise Holdings Foundation",135167,grants-lgbtq,33368
"Equality Fund",135020,grants-lgbtq,33368
"Esmond Harmsworth 1997 Charitable Foundation",135858,grants-lgbtq,33368
"Ford Foundation",136343,grants-lgbtq,33368
"Foundation for a Just Society",135512,grants-lgbtq,33368
"Foundation For Louisiana",184286,grants-lgbtq,33368
"Freedom House",135530,grants-lgbtq,33368
"Freedom Together Foundation",136283,grants-lgbtq,33368
"FRIDA: The Young Feminist Fund",135528,grants-lgbtq,33368
"Fund for Global Human Rights",135535,grants-lgbtq,33368
"Funders for Justice",136344,grants-lgbtq,33368
"David Geffen Foundation",135537,grants-lgbtq,33368
"General Service Foundation",135491,grants-lgbtq,33368
"Wallace Alexander Gerbode Foundation",135558,grants-lgbtq,33368
"Gill Foundation",136401,grants-lgbtq,33368
"Guilford Green Foundation",136321,grants-lgbtq,33368
"Global Fund for Women",135274,grants-lgbtq,33368
"The Global Resilience Fund for Girls and Young Women  ",135490,grants-lgbtq,33368
"Greater Cincinnati Foundation",135,grants-lgbtq,33368
"Groundswell Fund ",135982,grants-lgbtq,33368
"Evelyn and Walter Haas, Jr. Fund",136184,grants-lgbtq,33368
"Edward W. Hazen Foundation",135568,grants-lgbtq,33368
"William and Flora Hewlett Foundation",136439,grants-lgbtq,33368
"Colin Higgins Foundation",135837,grants-lgbtq,33368
"Hollyfield Foundation",136323,grants-lgbtq,33368
"International Trans Fund",136308,grants-lgbtq,33368
"Jewish Community Foundation of Los Angeles",136026,grants-lgbtq,33368
"Johnson Family Foundation",135619,grants-lgbtq,33368
"JPMorgan Chase",136239,grants-lgbtq,33368
"Kataly Foundation",135897,grants-lgbtq,33368
