post_title,post_id,tag_name,tag_id
"A.C. Israel Foundation",144392,jewish-foundations,33375
"Adelson Family Foundation",135202,jewish-foundations,33375
"AFH Foundation",144900,jewish-foundations,33375
"American Jewish World Service",184347,jewish-foundations,33375
"The A M Foundation",144840,jewish-foundations,33375
"Ted Arison Family Foundation",135161,jewish-foundations,33375
"Arison Family Foundation",142439,jewish-foundations,33375
"Herta &#038; Paul Amir Foundation",136399,jewish-foundations,33375
"Aviv Foundation",135162,jewish-foundations,33375
"Gerson Bakar Foundation",135175,jewish-foundations,33375
"Baron Capital Foundation",135180,jewish-foundations,33375
"Belfer Family Foundation",135360,jewish-foundations,33375
"Arthur M. Blank Family Foundation",136315,jewish-foundations,33375
"Blavatnik Family Foundation",135177,jewish-foundations,33375
"Jacob and Hilda Blaustein Foundation",135379,jewish-foundations,33375
"Muriel and Bert Brodsky Family Foundation",144842,jewish-foundations,33375
"Donald and Carole Chaiken Foundation",135278,jewish-foundations,33375
"Naomi and Nehemiah Cohen Foundation",135276,jewish-foundations,33375
"Mark Cuban Foundation",135183,jewish-foundations,33375
"Nathan Cummings Foundation",136178,jewish-foundations,33375
"Leonard and Sophie Davis Fund",135463,jewish-foundations,33375
"Dobkin Family Foundation",135460,jewish-foundations,33375
"Mitzi &#038; Warren Eisenberg Family Foundation",135189,jewish-foundations,33375
"Susan &#038; Leonard Feinstein Foundation",135517,jewish-foundations,33375
"Moses Feldman Family Foundation",135518,jewish-foundations,33375
"Max and Marjorie Fisher Foundation",135500,jewish-foundations,33375
"Lauren and Lee Fixel Foundation",135502,jewish-foundations,33375
"Frankel Family Foundation",135524,jewish-foundations,33375
"Friedman Family Foundation",135520,jewish-foundations,33375
"David Geffen Foundation",135537,jewish-foundations,33375
"Rosalinde and Arthur Gilbert Foundation ",135473,jewish-foundations,33375
"Goldrich Family Foundation",136420,jewish-foundations,33375
"Abraham and Mildred Goldstein Charitable Trust",144800,jewish-foundations,33375
"Gottesman Fund",135190,jewish-foundations,33375
"Harold Grinspoon Foundation",147190,jewish-foundations,33375
"Gross Foundation",144753,jewish-foundations,33375
"The Held Foundation",145150,jewish-foundations,33375
"Helmsley Charitable Trust",136185,jewish-foundations,33375
"Hillside Foundation",135562,jewish-foundations,33375
