post_title,post_id,tag_name,tag_id
"128 Collective",188283,progressive-funders,33428
"Akonadi Foundation",135555,progressive-funders,33428
"Arca Foundation",135981,progressive-funders,33428
"Arcus Foundation",135997,progressive-funders,33428
"Astraea Lesbian Foundation for Justice",135999,progressive-funders,33428
"Bauman Foundation",135977,progressive-funders,33428
"David Bohnett Foundation",136175,progressive-funders,33428
"Borealis Philanthropy",135979,progressive-funders,33428
"Brooklyn Org",145075,progressive-funders,33428
"Susan Thompson Buffett Foundation",136256,progressive-funders,33428
"The California Endowment",145035,progressive-funders,33428
"Marguerite Casey Foundation",136035,progressive-funders,33428
"Nathan Cummings Foundation",136178,progressive-funders,33428
"Democracy Alliance",136182,progressive-funders,33428
"Democracy Fund",136000,progressive-funders,33428
"Roy and Patricia Disney Foundation",136040,progressive-funders,33428
"Ford Foundation",136343,progressive-funders,33428
"FRIDA: The Young Feminist Fund",135528,progressive-funders,33428
"General Service Foundation",135491,progressive-funders,33428
"Groundswell Fund ",135982,progressive-funders,33428
"Evelyn and Walter Haas, Jr. Fund",136184,progressive-funders,33428
"Heising-Simons Foundation",136440,progressive-funders,33428
"Hill-Snowdon Foundation",135551,progressive-funders,33428
"Horizons Foundation",136199,progressive-funders,33428
"Freedom Together Foundation",136283,progressive-funders,33428
"Kataly Foundation",135897,progressive-funders,33428
"W.K. Kellogg Foundation",135639,progressive-funders,33428
"Laughing Gull Foundation",136223,progressive-funders,33428
"Liberty Hill Foundation ",136222,progressive-funders,33428
"Libra Foundation",136221,progressive-funders,33428
"Mellon Foundation",136407,progressive-funders,33428
"NEO Philanthropy",136209,progressive-funders,33428
"New World Foundation",135768,progressive-funders,33428
"Omidyar Network",135990,progressive-funders,33428
"Open Society Foundations",135862,progressive-funders,33428
"Pride Foundation",136241,progressive-funders,33428
"Proteus Fund",136261,progressive-funders,33428
"David Rockefeller Fund",136244,progressive-funders,33428
"Rockefeller Brothers Fund",136243,progressive-funders,33428
"Rockefeller Family Fund",136245,progressive-funders,33428
"Herb and Marion Sandler Foundation",136211,progressive-funders,33428
"Satterberg Foundation",8324,progressive-funders,33428
"Schooner Foundation",136250,progressive-funders,33428
"Stephen M. Silberstein Foundation",136265,progressive-funders,33428
"Solidago Foundation",136253,progressive-funders,33428
"Solidaire Network",136248,progressive-funders,33428
"Stonewall Community Foundation",136251,progressive-funders,33428
"Levi Strauss Foundation",136291,progressive-funders,33428
"The Streisand Foundation",136254,progressive-funders,33428
"Surdna Foundation",136264,progressive-funders,33428
"Third Wave Fund ",136269,progressive-funders,33428
"Tides Foundation",136267,progressive-funders,33428
"TomKat Foundation ",136270,progressive-funders,33428
"Wallace Global Fund",136193,progressive-funders,33428
"Weingart Foundation",144440,progressive-funders,33428
"Wild Geese Foundation",136172,progressive-funders,33428
"Woodcock Foundation",136171,progressive-funders,33428
"Wyss Foundation",136213,progressive-funders,33428
